"country","vaccine","birth_cohort","median","iqr","mean","sd","range","quan_01","quan_05","quan_15","quan_25","quan_50","quan_75","quan_85","quan_95","quan_99"
"All","DTP-D2",2021,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","DTP-D2",2022,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","DTP-D3",2006,3,"(0, 5.5)",5.9,"(16.36)","(-8, 153)",-4,-1.7,0,0,3,5.5,9.1,19.7,52.7
"All","DTP-D3",2007,3,"(1, 7)",7.1,"(15.98)","(-23, 223)",-4,-1,0,1,3,7,11,26,74.3
"All","DTP-D3",2008,3,"(1, 8)",8.1,"(16.93)","(-20, 198)",-3,-1,0,1,3,8,13,34,90
"All","DTP-D3",2009,3,"(1, 8)",7.7,"(15.56)","(-23, 213)",-3,-1,0,1,3,8,13,34,76.8
"All","DTP-D3",2010,4,"(1, 9)",9.2,"(17.74)","(-13, 202)",-3,-1,0,1,4,9,16,41.6,91
"All","DTP-D3",2011,3,"(1, 8)",7.8,"(14.67)","(-15, 173)",-5,-1,0,1,3,8,14,35,70.2
"All","DTP-D3",2012,3,"(1, 8)",7.1,"(13.27)","(-23, 145)",-6,-1,0,1,3,8,12.8,31,65
"All","DTP-D3",2013,4,"(1, 8)",7.3,"(12.69)","(-24, 127)",-5,-1,0,1,4,8,13,28,62.6
"All","DTP-D3",2014,4,"(1, 8)",7.7,"(13.48)","(-15, 132)",-4,-1,0,1,4,8,13,31.2,63.2
"All","DTP-D3",2015,4,"(1, 8)",6.6,"(11.97)","(-20, 132)",-6,-3,0,1,4,8,12,26,57
"All","DTP-D3",2016,5,"(2, 10)",8.6,"(12.79)","(-16, 125)",-3,-1,1,2,5,10,15.3,32.4,61
"All","DTP-D3",2017,5,"(2, 10)",8.8,"(12.76)","(-16, 132)",-3,-1,1,2,5,10,16,31,64
"All","DTP-D3",2018,5,"(2, 11)",8.9,"(12.63)","(-16, 136)",-3,-1,1,2,5,11,16,33,61.6
"All","DTP-D3",2019,3,"(1, 7)",6.4,"(10.84)","(-15, 120)",-2.2,-1,0,1,3,7,11,25,56
"All","DTP-D3",2020,2,"(0, 5)",4.8,"(8.63)","(-4, 72)",-2,-1,0,0,2,5,8,19.2,51
"All","DTP-D3",2021,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","DTP-D3",2022,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","OPV-BD",2006,1,"(0, 3)",2.2,"(5.98)","(-2, 32)",-2,-1.5,-1,0,1,3,4,5,24.2
"All","OPV-BD",2007,2,"(0, 4)",4.2,"(12.3)","(-2, 170)",-2,-1,-1,0,2,4,6,14.6,55.2
"All","OPV-BD",2008,2,"(0, 4)",4.6,"(11.24)","(-2, 128)",-2,-1,-1,0,2,4,7,18.5,57
"All","OPV-BD",2009,2,"(0, 4)",4.2,"(11.1)","(-2, 179)",-2,-1,-0.5,0,2,4,6,15,54
"All","OPV-BD",2010,2,"(0, 4)",4.7,"(13.98)","(-2, 223)",-2,-1,-1,0,2,4,6,19,63
"All","OPV-BD",2011,2,"(0, 4)",4.4,"(12.56)","(-2, 199)",-2,-1,-1,0,2,4,6,15,59.1
"All","OPV-BD",2012,1,"(0, 3)",5.6,"(14.98)","(-2, 139)",-2,-1,-1,0,1,3,6,39,74
"All","OPV-BD",2013,1,"(0, 3)",4.1,"(11.52)","(-2, 134)",-2,-1,-1,0,1,3,5,16,57.2
"All","OPV-BD",2014,1,"(0, 3)",3.1,"(9.12)","(-2, 108)",-2,-1,-1,0,1,3,4,10,53
"All","OPV-BD",2015,1,"(0, 3)",3,"(8.9)","(-2, 130)",-2,-1,-1,0,1,3,4,9,52
"All","OPV-BD",2016,1,"(0, 3)",3,"(9.2)","(-2, 140)",-2,-2,-1,0,1,3,4,11,52
"All","OPV-BD",2017,1,"(-1, 2)",2.2,"(8.09)","(-2, 150)",-2,-2,-1,-1,1,2,3,8,50
"All","OPV-BD",2018,1,"(-1, 2)",2.1,"(7.6)","(-2, 132)",-2,-2,-1,-1,1,2,3,8,50
"All","OPV-BD",2019,1,"(0, 2)",2.2,"(7.29)","(-2, 119)",-2,-2,-1,0,1,2,3,8,36.3
"All","OPV-BD",2020,1,"(0, 2)",1.4,"(5.04)","(-2, 56)",-2,-2,-1,0,1,2,2,4,23.2
"All","OPV-BD",2021,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","OPV-BD",2022,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","OPV-D1",2006,1,"(-1, 3)",1.8,"(4.86)","(-5, 20)",-4.7,-4,-1,-1,1,3,4,9.6,17.2
"All","OPV-D1",2007,0,"(-15, 3)",-1.4,"(16.52)","(-23, 169)",-19,-18,-16,-15,0,3,6,15,69
"All","OPV-D1",2008,0,"(-14, 3)",-1.2,"(16.94)","(-25, 193)",-19,-18,-16,-14,0,3,5,17,61.1
"All","OPV-D1",2009,1,"(-2, 3)",0.7,"(14.73)","(-27, 235)",-19,-18,-15,-2,1,3,6,19,57
"All","OPV-D1",2010,1,"(-1, 3)",2.8,"(15.41)","(-27, 211)",-19,-17,-2,-1,1,3,6,23,68.7
"All","OPV-D1",2011,1,"(0, 3.5)",4.3,"(12.77)","(-10, 164)",-5,-2,-1,0,1,3.5,6,21,60
"All","OPV-D1",2012,2,"(0, 4)",5.4,"(14.94)","(-10, 190)",-5,-2,-1,0,2,4,7,31.8,78
"All","OPV-D1",2013,2,"(0, 4)",3.9,"(10.01)","(-11, 151)",-5,-2,-1,0,2,4,7,16,54
"All","OPV-D1",2014,2,"(0, 6)",5,"(11.17)","(-11, 130)",-6,-2,-1,0,2,6,9,19,57
"All","OPV-D1",2015,2,"(0, 5)",4.2,"(10.14)","(-19, 131)",-8,-4,-1,0,2,5,8,16,54
"All","OPV-D1",2016,2,"(0, 4)",3.8,"(9.78)","(-23, 135)",-15,-3,-1,0,2,4,7,16,52
"All","OPV-D1",2017,2,"(0, 4)",4,"(9.43)","(-9, 133)",-6,-2,-1,0,2,4,6,15,53
"All","OPV-D1",2018,2,"(0, 4)",3.9,"(8.67)","(-9, 133)",-5,-2,0,0,2,4,7,15,52
"All","OPV-D1",2019,2,"(0, 3)",3.1,"(7.22)","(-9, 111)",-4,-2,-1,0,2,3,5,12,38
"All","OPV-D1",2020,1,"(0, 3)",2.5,"(6.73)","(-8, 75)",-4,-2,-1,0,1,3,5,10,39.1
"All","OPV-D1",2021,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","OPV-D1",2022,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","OPV-D2",2006,1,"(0, 4)",2.4,"(4.96)","(-4, 19)",-4,-4,-0.8,0,1,4,5,11.6,17
"All","OPV-D2",2007,1,"(-55, 5)",-14,"(32.1)","(-65, 166)",-61,-60,-58,-55,1,5,9,18,56.4
"All","OPV-D2",2008,1,"(-55, 5)",-13.6,"(32.95)","(-68, 194)",-61,-60,-58,-55,1,5,9,23,65.6
"All","OPV-D2",2009,2,"(-2, 6)",-6.4,"(28.86)","(-68, 204)",-61,-60,-56,-2,2,6,10,25,59
"All","OPV-D2",2010,2,"(0, 6)",2.1,"(22.6)","(-62, 191)",-60,-57,-1,0,2,6,10,33.1,72
"All","OPV-D2",2011,2,"(0, 5)",5.7,"(13.4)","(-10, 178)",-6,-2,0,0,2,5,9,25,66
"All","OPV-D2",2012,3,"(1, 6)",6.4,"(14.12)","(-14, 144)",-6,-2,0,1,3,6,9,33.2,72
"All","OPV-D2",2013,3,"(1, 7)",5.8,"(10.93)","(-17, 128)",-5,-1,0,1,3,7,10,22,57
"All","OPV-D2",2014,3,"(1, 7)",6,"(12)","(-10, 136)",-6,-1,0,1,3,7,10,24,61
"All","OPV-D2",2015,3,"(0, 7)",5.3,"(11.81)","(-62, 133)",-8,-4,-1,0,3,7,10,21,55
"All","OPV-D2",2016,3,"(1, 7)",5.2,"(13.45)","(-78, 118)",-58.4,-2,0,1,3,7,10,23,56
"All","OPV-D2",2017,3,"(2, 7)",6.1,"(10.56)","(-12, 129)",-4,-1,0,2,3,7,10,22,56
"All","OPV-D2",2018,3,"(2, 7)",6.2,"(10.26)","(-12, 140)",-3,-1,0,2,3,7,10,22,56
"All","OPV-D2",2019,2,"(1, 5)",4.5,"(8.36)","(-11, 108)",-3,-1,0,1,2,5,8,17,47
