"country","vaccine","median","iqr","mean","sd","range","quan_01","quan_05","quan_15","quan_25","quan_50","quan_75","quan_85","quan_95","quan_99"
"All","BCG",1,"(0, 4)",4,"(10.58)","(-9, 248)",-2,-1,0,0,1,4,7,16,54
"All","DTP-D1",1,"(0, 4)",5.4,"(15.31)","(-13, 235)",-6,-2,-1,0,1,4,7,30,78
"All","DTP-D2",3,"(1, 6)",5.9,"(12.52)","(-19, 236)",-6,-1,0,1,3,6,9,23,61
"All","DTP-D3",4,"(1, 9)",8,"(13.82)","(-24, 223)",-4,-1,1,1,4,9,14,31,67
"All","OPV-BD",0,"(0, 2)",2.9,"(9.59)","(-2, 223)",-1,0,0,0,0,2,4,11,52
"All","OPV-D1",1,"(0, 4)",3.3,"(11.31)","(-27, 235)",-18,-6,-1,0,1,4,6,16,54
"All","OPV-D2",3,"(1, 6)",3.5,"(16.85)","(-77, 204)",-60,-5,0,1,3,6,10,23,58
"All","OPV-D3",4,"(2, 9)",7.5,"(14.97)","(-68, 223)",-42.7,-1,1,2,4,9,14,31,67
"All","IPV-D1",4,"(1, 11)",8.6,"(13.98)","(-26, 133)",-7,0,1,1,4,11,16,33,72.3
"All","MCV-D1",2,"(0, 7)",6.7,"(17.4)","(-54, 206)",-25,-4,0,0,2,7,13,39,81
"All","MCV-D2",5,"(1, 12)",6.4,"(16.83)","(-77, 161)",-49,-24,0,1,5,12,17,34,60
"All","HepB-BD",0,"(0, 1)",2.9,"(11.07)","(-2, 146)",-1,0,0,0,0,1,2,13,53
"All","HepB-D1",1,"(0, 4)",3.7,"(10.44)","(-13, 190)",-9,-4,0,0,1,4,6,16,54
"All","HepB-D2",3,"(1, 6)",5.7,"(11.01)","(-26, 178)",-5,-1,0,1,3,6,9,22,57
"All","HepB-D3",4,"(2, 9)",8.1,"(12.48)","(-24, 148)",-4,0,1,2,4,9,14,30,62
"All","Hib-D1",1,"(0, 3)",3.2,"(9.18)","(-13, 135)",-5,-2,0,0,1,3,5,13,52
"All","Hib-D2",2,"(1, 5)",4.9,"(10.25)","(-15, 138)",-4,-1,0,1,2,5,8,19,54
"All","Hib-D3",3,"(1, 7)",6.8,"(11.99)","(-20, 133)",-4,-1,1,1,3,7,12,27,59
"All","PCV-D1",1,"(0, 4)",4.9,"(14.39)","(-11, 236)",-4,-1,0,0,1,4,6,22,66
"All","PCV-D2",2,"(1, 5)",5.5,"(11.36)","(-15, 201)",-4,-1,0,1,2,5,9,24,56
"All","PCV-D3",3,"(1, 8)",6.5,"(14.09)","(-47, 199)",-22,-7,0,1,3,8,13,30,62
"All","RV-D1",1,"(0, 4)",5.4,"(13.62)","(-13, 211)",-4,-2,0,0,1,4,7,36,62
"All","RV-D2",3,"(1, 6)",5.8,"(12.03)","(-12, 197)",-4,-1,0,1,3,6,9,22,63
"All","RV-D3",4,"(2, 10)",8.5,"(13.07)","(-14, 132)",-4,-2,1,2,4,10,15,31,64
