"country","BCG","DTP-D1","DTP-D2","DTP-D3","OPV-BD","OPV-D1","OPV-D2","OPV-D3","IPV-D1","MCV-D1","MCV-D2","HepB-BD","HepB-D1","HepB-D2","HepB-D3","Hib-D1","Hib-D2","Hib-D3","PCV-D1","PCV-D2","PCV-D3","RV-D1","RV-D2","RV-D3"
"Pakistan (2018)","2 (1, 4)","2 (0, 4.25)","4 (2, 7)","5 (2, 10)","2 (0, 4)","2 (0, 4)","3 (2, 7)","5 (2, 10)","5 (2, 12)","2 (0, 6)","3 (0, 7)","NA (NA, NA)","2 (0, 4.25)","4 (2, 7)","5 (2, 10)","2 (0, 4.25)","4 (2, 7)","5 (2, 10)","2 (0, 5)","3 (2, 7)","5 (2, 10)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Peru (2012)","2 (0, 4)","1 (0, 2)","2 (1, 5)","2 (1, 7)","NA (NA, NA)","-16 (-17, -15)","-58 (-59, -55)","NA (NA, NA)","NA (NA, NA)","3 (1, 10)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","1 (0, 4)","2 (1, 6)","NA (NA, NA)"
"Philippines (2022)","1 (0, 5)","3 (1, 5)","4 (2, 7)","6 (3, 11)","NA (NA, NA)","3 (1, 5)","4 (2, 7)","6 (3, 11)","6 (3, 12)","3 (0, 7)","3 (0, 7)","0 (-1, 2)","2 (1, 5)","4 (2, 7)","6 (3, 11)","3 (1, 5)","4 (2, 7)","6 (3, 11)","3 (2, 7)","5 (2, 12)","8 (4, 16)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Rwanda (2020)","1 (0, 2)","1 (0, 2)","2 (0, 3)","2 (0, 3)","1 (0, 2)","1 (0, 2)","2 (0, 3)","2 (0, 3)","2 (0, 3)","1 (0, 3)","3 (1, 5)","NA (NA, NA)","1 (0, 2)","2 (0, 3)","2 (0, 3)","1 (0, 2)","2 (0, 3)","2 (0, 3)","1 (0, 2)","2 (0, 3)","2 (0, 3)","1 (0, 2)","2 (0, 3)","NA (NA, NA)"
"Senegal (2019)","2 (1, 5)","2 (0, 4)","4 (1, 6)","5 (3, 9)","1 (0, 2)","2 (0, 4)","4 (1, 6)","5 (3, 9)","NA (NA, NA)","2 (0, 7)","3 (1, 9)","1 (0, 2)","2 (0, 4)","4 (1, 6)","5 (3, 9)","2 (0, 4)","4 (1, 6)","5 (3, 9)","2 (0, 4)","4 (1, 6)","5 (3, 9)","2 (0, 4)","4 (2, 7)","NA (NA, NA)"
"Sierra Leone (2019)","1 (0, 3)","2 (0, 4)","3 (1, 7)","5 (2, 11)","1 (0, 2)","2 (0, 4)","3 (1, 7)","5 (2, 11)","6 (2, 13)","2 (0, 10)","2 (-12, 12)","NA (NA, NA)","2 (0, 4)","3 (1, 7)","5 (2, 11)","2 (0, 4)","3 (1, 7)","5 (2, 11)","2 (0, 4)","3 (1, 7)","5 (2, 11)","2 (0, 4)","3 (1, 7)","NA (NA, NA)"
"South Africa (2016)","1 (-1, 2)","1 (-1, 2)","1 (0, 3)","2 (0, 4)","1 (-1, 2)","1 (-1, 2)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","-7 (-16, 10)","28 (26, 30)","NA (NA, NA)","1 (-1, 2)","1 (0, 3)","2 (0, 3.25)","1 (-1, 2)","1 (0, 3)","2 (0, 4)","1 (-1, 2)","1 (0, 4)","2 (0, 4)","1 (-1, 2)","1 (0, 3)","NA (NA, NA)"
"Tajikistan (2017)","1 (0, 3)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","0 (-1, 2)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","2 (0, 4)","NA (NA, NA)","0 (-1, 2)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Tanzania (2016)","2 (1, 6)","2 (0, 3.5)","3 (1, 6)","4 (2, 8)","NA (NA, NA)","2 (0, 4)","3 (1, 6)","4 (2, 9)","NA (NA, NA)","3 (1, 7)","6 (2, 15)","NA (NA, NA)","2 (0, 3.5)","3 (1, 6)","4 (2, 8)","2 (0, 3.5)","3 (1, 6)","4 (2, 8)","2 (0, 4)","3 (1, 6)","4 (2, 8)","2 (0, 4)","3 (1, 6)","NA (NA, NA)"
"The Gambia (2020)","3 (1, 4)","2 (0, 4)","3 (1, 5.75)","4 (2, 8)","3 (1, 4)","2 (0, 4)","3 (1, 6)","4 (2, 8)","5 (2, 10)","3 (1, 6)","6 (3, 13)","3 (1, 4)","2 (0, 4)","3 (1, 5.75)","4 (2, 8)","2 (0, 4)","3 (1, 5.75)","4 (2, 8)","2 (0, 4)","3 (1, 6)","4 (2, 8)","2 (0, 4)","3 (1, 6)","NA (NA, NA)"
"Timor-Leste (2016)","2 (0, 5)","2 (0, 4)","3 (0, 5)","3 (1, 8)","2 (0, 5)","2 (0, 4)","3 (0, 5)","3 (1, 8)","NA (NA, NA)","1 (0, 5)","NA (NA, NA)","NA (NA, NA)","2 (0, 4)","3 (0, 5)","3 (1, 8)","2 (0, 4)","3 (0, 5)","3 (1, 8)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Togo (2014)","2 (1, 4)","2 (0, 4)","3 (1, 6)","4 (2, 9)","2 (1, 4)","2 (0, 4)","3 (1, 6)","4 (2, 9)","NA (NA, NA)","3 (1, 8)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Turkey (2019)","1 (0, 2)","1 (0, 2)","2 (0, 3)","1 (0, 3)","NA (NA, NA)","-16 (-17, -14)","-59 (-60, -57)","NA (NA, NA)","NA (NA, NA)","2 (0, 3)","NA (NA, NA)","NA (NA, NA)","-3 (-5, -2)","-20 (-22, -20)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","1 (0, 2)","2 (0, 3)","-25 (-26, -23)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Uganda (2016)","2 (0, 5)","2 (0, 4)","3 (1, 7)","4 (2, 10)","1 (0, 3)","2 (0, 4)","3 (1, 7)","5 (2, 11)","20 (11, 39)","3 (0, 8)","NA (NA, NA)","NA (NA, NA)","2 (0, 4)","3 (1, 7)","4 (2, 10)","2 (0, 4)","3 (1, 7)","4 (2, 10)","3 (1, 10)","6 (2, 14)","8 (3, 21)","7 (2, 13)","6 (3, 12.25)","NA (NA, NA)"
"Yemen (2013)","7 (3, 12)","3 (0, 7)","4 (2, 10)","6 (3, 15)","4 (2, 7)","3 (0, 7)","4 (2, 10)","6 (3, 15)","NA (NA, NA)","3.5 (0, 22)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","5 (2, 13)","7 (3, 18)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Zambia (2019)","2 (0, 5)","2 (0, 4)","3 (1, 7)","5 (2, 10)","NA (NA, NA)","2 (0, 4)","4 (1, 7)","5 (2, 10)","NA (NA, NA)","2 (0, 6)","3 (1, 7)","NA (NA, NA)","2 (0, 4)","3 (1, 7)","5 (2, 10)","2 (0, 4)","3 (1, 7)","5 (2, 10)","2 (0, 4)","3 (1, 7)","4 (2, 9)","2 (0, 4)","4 (1, 8)","NA (NA, NA)"
"Zimbabwe (2015)","1 (-1, 2)","1 (0, 2)","2 (0, 4)","3 (1, 6)","NA (NA, NA)","1 (0, 2)","2 (0, 4)","3 (1, 7)","NA (NA, NA)","2 (0, 5)","NA (NA, NA)","NA (NA, NA)","1 (0, 2)","2 (0, 4)","3 (1, 6)","1 (0, 2)","2 (0, 4)","3 (1, 6)","1 (0, 2)","2 (0, 4)","3 (1, 6)","10 (1, 35.5)","3 (0.25, 9.75)","NA (NA, NA)"
