"country","BCG","DTP-D1","DTP-D2","DTP-D3","OPV-BD","OPV-D1","OPV-D2","OPV-D3","IPV-D1","MCV-D1","MCV-D2","HepB-BD","HepB-D1","HepB-D2","HepB-D3","Hib-D1","Hib-D2","Hib-D3","PCV-D1","PCV-D2","PCV-D3","RV-D1","RV-D2","RV-D3"
"All","1 (0, 4)","1 (0, 4)","3 (1, 6)","4 (2, 9)","0 (0, 2)","1 (0, 4)","3 (1, 6)","4 (2, 9)","4 (1, 10)","2 (0, 6)","4 (1, 10)","0 (0, 0)","1 (0, 4)","3 (1, 6)","4 (2, 9)","1 (0, 3)","2 (1, 5)","3 (1, 7)","1 (0, 4)","2 (1, 5)","3 (1, 8)","1 (0, 4)","3 (1, 6)","5 (2, 10)"
"Angola (2016)","1 (0, 5)","1 (0, 4)","2 (1, 6)","1 (0, 6)","1 (0, 4)","1 (0, 4)","2 (1, 6)","2 (0, 6)","NA (NA, NA)","1 (0, 6)","-21 (-25, 1)","1 (0, 9)","1 (0, 4)","2 (1, 6)","1 (0, 6)","1 (0, 4)","2 (1, 6)","1 (0, 6)","1 (0, 6.25)","2 (1, 9)","2 (0, 8)","1 (0, 4)","2 (1, 7)","NA (NA, NA)"
"Bangladesh (2018)","7 (4, 9)","2 (1, 4)","3 (2, 6)","4 (2, 8)","NA (NA, NA)","2 (1, 4)","3 (2, 6)","4 (2, 8)","13 (10, 18)","0.5 (-3.75, 2.25)","4 (2, 6)","NA (NA, NA)","2 (1, 4)","3 (2, 6)","4 (2, 8)","2 (1, 4)","3 (2, 6)","4 (2, 8)","2 (1, 4)","3 (2, 6)","8 (6, 13)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Benin (2018)","1 (0, 2)","1 (0, 2)","2 (1, 4)","3 (1, 7)","1 (0, 2)","1 (0, 2)","2 (1, 4)","3 (1, 7)","NA (NA, NA)","2 (1, 5)","NA (NA, NA)","NA (NA, NA)","1 (0, 2)","2 (1, 4)","3 (1, 7)","1 (0, 2)","2 (1, 4)","3 (1, 7)","1 (0, 2)","2 (1, 4)","3 (1, 7)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Burkina Faso (2021)","1 (1, 2)","1 (1, 3)","2 (1, 4)","3 (2, 6)","1 (0, 2)","1 (1, 3)","2 (1, 4)","3 (2, 6)","4 (2, 7)","2 (0, 5)","3 (1, 6)","NA (NA, NA)","1 (1, 3)","2 (1, 4)","3 (2, 6)","1 (1, 3)","2 (1, 4)","3 (2, 6)","1 (1, 3)","-2 (-3, 0)","-20 (-21, -17)","2 (1, 3)","2 (1, 5)","4 (2, 6)"
"Burundi (2017)","1 (1, 2)","1 (0, 2)","2 (1, 3)","3 (2, 4)","1 (1, 2)","1 (0, 2)","2 (1, 3)","3 (2, 4)","NA (NA, NA)","1 (0, 3)","3 (2, 6)","NA (NA, NA)","1 (0, 2)","2 (1, 3)","3 (2, 4)","1 (0, 2)","2 (1, 3)","3 (2, 4)","1 (0, 2)","2 (1, 3)","3 (2, 4)","1 (0, 2)","2 (1, 3)","NA (NA, NA)"
"Cambodia (2022)","0 (0, 0)","1 (1, 1)","1 (1, 2)","2 (2, 4)","NA (NA, NA)","1 (1, 1)","1 (1, 2)","2 (2, 4)","2 (2, 4)","1 (0, 2)","2 (-1, 4)","0 (0, 0)","1 (1, 1)","1 (1, 2)","2 (2, 4)","1 (1, 1)","1 (1, 2)","2 (2, 4)","1 (1, 1)","1 (1, 3)","2 (2, 5)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Cameroon (2019)","1 (0, 4)","1 (0, 2)","1 (0, 4)","2 (1, 5)","1 (0, 3)","1 (0, 2)","1 (0, 3)","2 (1, 5)","NA (NA, NA)","1 (0, 4)","NA (NA, NA)","NA (NA, NA)","1 (0, 2)","1 (0, 4)","2 (1, 5)","1 (0, 2)","1 (0, 4)","2 (1, 5)","1 (0, 2)","1 (0, 4)","2 (1, 5)","1 (0, 3)","1 (0, 4)","NA (NA, NA)"
"Chad (2015)","6 (2, 23)","5 (1, 25)","8 (2, 25)","11 (4, 28.5)","5 (1, 18)","5 (0, 23)","7 (2, 24)","11 (4, 30)","NA (NA, NA)","7 (0, 52.25)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Comoros (2012)","1 (0, 2)","2 (0, 5)","3 (1, 8.25)","5 (2, 14)","1 (0, 3)","2 (0, 4)","3 (1, 8)","5 (2, 13)","NA (NA, NA)","2 (-1, 11)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Congo (2012)","2 (0, 4)","2 (0, 4)","3 (1, 6)","4 (1, 8)","2 (0, 4)","2 (0, 4)","3 (1, 6)","4 (2, 8)","NA (NA, NA)","5 (3, 9)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Congo Democratic Republic (2014)","1 (0, 5)","2 (0, 5)","3 (0, 8)","4 (1, 10)","1 (0, 4)","2 (0, 5)","3 (0, 8)","4 (1, 10)","NA (NA, NA)","2 (0, 8)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Cote d'Ivoire (2021)","1 (0, 3)","1 (0, 3)","2 (1, 5)","3 (1, 8)","1 (0, 2)","1 (0, 3)","2 (1, 5)","3 (1, 8)","3 (1, 8)","2 (0, 6)","NA (NA, NA)","NA (NA, NA)","1 (0, 3)","2 (1, 5)","3 (1, 8)","1 (0, 3)","2 (1, 5)","3 (1, 8)","1 (0, 3)","2 (1, 5)","3 (1, 8)","1 (0, 4)","2 (1, 6)","NA (NA, NA)"
"Dominican Republic (2013)","1 (0, 2)","1 (0, 2)","2 (1, 5)","3 (1, 7)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","-48 (-50, -44)","NA (NA, NA)","3 (1, 6.5)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","45 (43, 49)","2 (1, 5.75)","NA (NA, NA)"
"Egypt (2014)","1 (0, 3)","0 (-1, 1)","1 (0, 2)","1 (0, 2)","1 (0, 2)","0 (-1, 1)","1 (0, 2)","1 (0, 2)","NA (NA, NA)","0 (-1, 2)","2 (1, 4)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Ethiopia (2011)","6 (1, 11)","1 (0, 5)","2 (1, 6)","3 (1, 7)","1 (0, 2)","1 (0, 5)","2 (1, 6)","3 (1, 8)","3 (1, 8)","2 (0, 6)","3 (-6, 15)","NA (NA, NA)","1 (0, 5)","2 (1, 6)","3 (1, 7)","1 (0, 5)","2 (1, 6)","3 (1, 7)","1 (0, 4)","2 (1, 6)","3 (1, 7)","1 (0, 5)","2 (1, 6)","NA (NA, NA)"
"Gabon (2021)","1 (0, 3)","1 (0, 2)","2 (1, 4)","2 (1, 6)","1 (0, 2)","1 (0, 2)","2 (1, 4)","2 (1, 6)","2 (1, 6)","2 (1, 5)","NA (NA, NA)","NA (NA, NA)","1 (0, 2)","2 (1, 4)","2 (1, 6)","1 (0, 2)","2 (1, 4)","2 (1, 6)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Ghana (2014)","2 (0, 4)","2 (0, 3)","3 (1, 5)","4 (2, 7.25)","1 (0, 2)","2 (0, 3)","3 (1, 5)","4 (2, 7)","NA (NA, NA)","3 (1, 6)","5 (1, 15)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","2 (0, 4)","3 (1, 6)","4 (2, 7.75)","2 (0, 4)","3 (1, 6)","NA (NA, NA)"
"Guatemala (2015)","2 (0, 5)","1 (-1, 4)","3 (0, 6)","4 (1, 9)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","4 (1, 9)","NA (NA, NA)","2 (-2, 5)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","2 (0, 8)","4 (1, 10)","NA (NA, NA)","1 (0, 4)","3 (1, 6)","NA (NA, NA)"
"Guinea (2018)","1 (0, 4)","1 (0, 5)","2 (1, 8)","4 (1, 11)","1 (0, 4)","1 (0, 5)","2 (0, 7)","3 (1, 10)","13.5 (3, 25)","1 (-5.5, 6)","NA (NA, NA)","NA (NA, NA)","1 (0, 5)","2 (1, 8)","4 (1, 11)","1 (0, 5)","2 (1, 8)","4 (1, 11)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Haiti (2017)","4 (1, 10.25)","3 (1, 8)","6 (2, 13)","9 (4, 19)","NA (NA, NA)","9 (7, 13)","5 (2, 11)","8 (4, 18)","NA (NA, NA)","4 (1, 13)","NA (NA, NA)","NA (NA, NA)","3 (1, 8)","6 (2, 13)","9 (4, 19)","3 (1, 8)","6 (2, 13)","9 (4, 19)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","3 (1, 8)","6 (2, 13)","NA (NA, NA)"
"Honduras (2012)","1 (0, 3)","1 (-1, 2)","2 (0, 4)","2 (1, 5)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","2 (1, 5)","NA (NA, NA)","2 (0, 3)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","21 (7, 45)","11 (3, 20)","12 (4, 21)","1 (-1, 2)","2 (0, 3)","NA (NA, NA)"
"India (2021)","0 (0, 2)","2 (1, 5)","4 (2, 7)","5 (3, 11)","0 (0, 0)","2 (1, 4)","4 (2, 7)","5 (3, 11)","NA (NA, NA)","3 (1, 7)","6 (2, 12)","0 (0, 0)","2 (1, 4)","4 (2, 7)","5 (3, 11)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","2 (1, 5)","4 (2, 8)","5 (3, 11)"
