"country","BCG","DTP-D1","DTP-D2","DTP-D3","OPV-BD","OPV-D1","OPV-D2","OPV-D3","IPV-D1","MCV-D1","MCV-D2","HepB-BD","HepB-D1","HepB-D2","HepB-D3","Hib-D1","Hib-D2","Hib-D3","PCV-D1","PCV-D2","PCV-D3","RV-D1","RV-D2","RV-D3"
"Indonesia (2017)","5 (4, 8)","3 (0, 5)","4 (1, 8)","5 (2, 10)","NA (NA, NA)","8 (5, 11)","8 (5, 13)","10 (7, 16)","NA (NA, NA)","3 (0, 6)","NA (NA, NA)","1 (-1, 2)","3 (0, 5)","4 (1, 8)","5 (2, 10)","3 (0, 5)","4 (1, 8)","5 (2, 10)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Jordan (2018)","4 (2, 5)","-3 (-4, 0)","-1 (-3, 1)","-1 (-3, 3)","NA (NA, NA)","-2 (-3, 1)","0 (-2, 2)","2 (0, 5)","NA (NA, NA)","15 (14, 18)","3 (1, 7)","NA (NA, NA)","-3 (-4, 0)","-1 (-3, 1)","0 (-2, 4)","-3 (-4, 0)","-1 (-3, 1)","0 (-2, 4)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","-3 (-4, 0)","-1 (-3, 1)","0 (-2, 4)"
"Kenya (2022)","0 (0, 2)","0 (0, 1)","1 (0, 2)","1 (1, 3)","0 (0, 1)","0 (0, 1)","1 (0, 2)","1 (1, 3)","1 (0, 3)","2 (0, 4)","2 (1, 5)","NA (NA, NA)","0 (0, 1)","1 (0, 2)","1 (1, 3)","0 (0, 1)","1 (0, 2)","1 (1, 3)","0 (0, 1)","1 (0, 2)","1 (1, 3)","0 (0, 1)","1 (0, 2)","NA (NA, NA)"
"Kyrgyz Republic (2012)","1 (-1, 2)","1 (-1, 2)","4 (2, 6)","3 (1, 6)","NA (NA, NA)","1 (0, 4)","5 (3, 9)","4 (2, 10)","NA (NA, NA)","2 (0, 5)","NA (NA, NA)","NA (NA, NA)","-9 (-10, -8)","1 (0, 3)","12 (9, 15)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Lesotho (2014)","2 (0, 5)","1 (0, 3)","3 (1, 5)","4 (2, 7)","1 (0, 2)","2 (0, 3)","3 (1, 5)","4 (2, 8)","NA (NA, NA)","4 (1, 9)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Liberia (2020)","1 (0, 3)","1 (0, 3)","2 (1, 6)","4 (2, 11)","0 (0, 1)","1 (0, 3)","2 (1, 6.75)","4 (2, 10)","6 (2, 18)","2 (0, 5)","NA (NA, NA)","NA (NA, NA)","1 (0, 3)","2 (1, 6)","4 (2, 11)","1 (0, 3)","2 (1, 6)","4 (2, 11)","1 (0, 3)","2.5 (1, 6)","4 (2, 10)","1 (0, 3)","3 (1, 6)","NA (NA, NA)"
"Madagascar (2021)","3 (1, 6)","1 (0, 4)","2 (1, 5)","3 (1, 6)","2 (1, 5)","1 (0, 4)","2 (1, 5)","3 (1, 6)","3 (1, 7)","1 (-1, 5)","NA (NA, NA)","NA (NA, NA)","1 (0, 4)","2 (1, 5)","3 (1, 6)","1 (0, 4)","2 (1, 5)","3 (1, 6)","1 (0, 4)","2 (1, 5)","3 (1, 6)","1 (0, 4)","2 (1, 5)","NA (NA, NA)"
"Malawi (2016)","1 (0, 4)","2 (1, 4)","3 (1, 5)","4 (2, 8)","1 (0, 2)","2 (1, 4)","3 (1, 7)","5 (2, 11)","NA (NA, NA)","3 (1, 7)","8 (-6, 21)","NA (NA, NA)","2 (1, 4)","3 (1, 5)","4 (2, 8)","2 (1, 4)","3 (1, 5)","4 (2, 8)","2 (1, 4)","3 (1, 6)","4 (2, 9)","2 (1, 4)","3 (1, 6)","NA (NA, NA)"
"Maldives (2017)","0 (0, 0)","0 (0, 1)","1 (1, 2)","1 (0, 3)","NA (NA, NA)","0 (0, 2)","1 (1, 3)","1 (0, 2)","1 (0, 3)","2 (0, 3)","2 (2, 4)","0 (0, 0)","0 (0, 1)","1 (1, 2)","1 (0, 3)","0 (0, 1)","1 (1, 2)","1 (0, 3)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Mali (2018)","3 (1, 7)","2 (1, 6)","4 (2, 9)","6 (3, 13)","2 (1, 5)","2 (1, 6)","4 (2, 9)","6 (3, 13)","5 (1, 12)","2 (-1, 6)","NA (NA, NA)","NA (NA, NA)","2 (1, 6)","4 (2, 9)","6 (3, 13)","2 (1, 6)","4 (2, 9)","6 (3, 13)","2 (1, 6)","4 (2, 9)","7 (3, 13)","2 (1, 7)","5 (2, 10)","7 (3, 15)"
"Mauritania (2021)","1 (0, 6)","1 (0, 4)","3 (1, 8)","7 (3, 16)","0 (0, 3)","1 (0, 4)","3 (1, 7)","6 (2, 15)","6 (2, 14)","2 (-1.25, 8)","NA (NA, NA)","0 (0, 2)","1 (0, 4)","3 (1, 8)","7 (3, 16)","1 (0, 4)","3 (1, 8)","7 (3, 16)","1 (0, 4)","4 (1, 8)","7 (3, 16)","1 (0, 5)","4 (1, 8)","NA (NA, NA)"
"Myanmar (2016)","11 (7, 12)","2 (-1, 6)","3 (-1, 7)","3 (-1, 7)","NA (NA, NA)","2 (-1, 6)","3 (-1, 7)","3 (-1, 7)","NA (NA, NA)","3 (2, 7)","4 (0, 8)","2 (0, 11)","2 (-1, 6)","3 (-1, 7)","3 (-1, 7)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Namibia (2013)","1 (-1, 2)","1 (-1, 2)","1 (0, 3)","2 (0, 4)","1 (-1, 2)","1 (-1, 2)","1 (0, 3)","2 (0, 4)","NA (NA, NA)","1 (0, 3)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Niger (2012)","3 (1, 9)","3 (0, 7)","5 (2, 11)","7 (3, 16)","2 (1, 6)","3 (0, 7)","5 (2, 11)","7 (3, 16)","NA (NA, NA)","3 (0, 10)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Nigeria (2021)","2 (1, 5)","1 (0, 5)","2 (0, 6)","3 (1, 9)","1 (1, 3)","1 (0, 4)","2 (0, 6)","3 (1, 9)","12 (9, 20)","1 (0, 6)","-11 (-23, 4.75)","1 (0, 3)","1 (0, 5)","2 (0, 6)","3 (1, 9)","1 (0, 5)","2 (0, 6)","3 (1, 9)","1 (0, 6)","2 (1, 8)","3 (1, 11)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Pakistan (2018)","2 (1, 4)","2 (1, 4)","3 (2, 7)","5 (2, 10)","2 (1, 3)","2 (1, 4)","3 (2, 7)","5 (2, 10)","5 (2, 10)","2 (0, 6)","3 (1, 6)","NA (NA, NA)","2 (1, 4)","3 (2, 7)","5 (2, 10)","2 (1, 4)","3 (2, 7)","5 (2, 10)","2 (1, 4)","3 (2, 7)","5 (2, 10)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Peru (2012)","1 (0, 3)","1 (-1, 2)","2 (1, 5)","2 (0, 6)","NA (NA, NA)","-16 (-18, -15)","-58 (-59, -55)","NA (NA, NA)","NA (NA, NA)","3 (1, 8)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","1 (0, 3)","2 (0, 5)","NA (NA, NA)"
"Philippines (2022)","0 (0, 4)","2 (1, 4)","4 (2, 7)","5 (3, 11)","NA (NA, NA)","2 (1, 5)","4 (2, 8)","6 (3, 11)","6 (3, 12)","3 (1, 6)","2 (1, 6)","0 (0, 0)","2 (1, 4)","4 (2, 7)","5 (3, 11)","2 (1, 4)","4 (2, 7)","5 (3, 11)","3 (1, 7)","4 (2, 11)","8 (4, 15)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Rwanda (2020)","1 (0, 2)","1 (0, 2)","1 (0, 2)","2 (1, 3)","1 (0, 1)","1 (0, 2)","1 (0, 2)","1 (1, 3)","1 (1, 3)","1 (0, 2)","2 (1, 4)","NA (NA, NA)","1 (0, 2)","1 (0, 2)","2 (1, 3)","1 (0, 2)","1 (0, 2)","2 (1, 3)","1 (0, 2)","1 (0, 2)","2 (1, 3)","1 (0, 2)","1 (1, 2)","NA (NA, NA)"
"Senegal (2019)","2 (1, 4)","2 (1, 4)","3 (1, 7)","5 (2, 11)","1 (0, 2)","2 (1, 4)","3 (1, 7)","5 (2, 11)","NA (NA, NA)","2 (0, 7)","3 (1, 8)","0 (0, 2)","2 (1, 4)","3 (1, 7)","5 (2, 11)","2 (1, 4)","3 (1, 7)","5 (2, 11)","2 (1, 4)","3 (1, 7)","5 (2, 11)","2 (1, 4)","3 (1, 7)","NA (NA, NA)"
"Sierra Leone (2019)","1 (0, 2)","1 (0, 3)","3 (1, 6)","4 (2, 10)","1 (0, 2)","1 (0, 3)","2 (1, 6)","4 (2, 10)","5 (2, 12)","2 (0, 8)","1 (-14, 6)","NA (NA, NA)","1 (0, 3)","3 (1, 6)","4 (2, 10)","1 (0, 3)","3 (1, 6)","4 (2, 10)","1 (0, 3)","3 (1, 6)","4 (2, 10)","1 (0, 3)","3 (1, 6)","NA (NA, NA)"
"South Africa (2016)","0 (0, 0)","0 (0, 1)","1 (0, 3)","1 (0, 4)","0 (0, 0)","0 (0, 1)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","-3 (-14, 9)","27 (25, 28)","NA (NA, NA)","0 (0, 1)","1 (0, 2)","1 (0, 3)","0 (0, 1)","1 (0, 3)","1 (0, 4)","0 (0, 1)","1 (0, 3)","1 (0, 3)","0 (0, 1)","1 (0, 3)","NA (NA, NA)"
"Tajikistan (2017)","0 (0, 2)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","0 (0, 0)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","2 (0, 4)","NA (NA, NA)","0 (0, 0)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Tanzania (2016)","2 (0, 6)","1 (0, 3)","2 (1, 5)","4 (2, 7)","NA (NA, NA)","1 (0, 3)","2 (1, 5)","4 (2, 8)","NA (NA, NA)","3 (1, 6)","4 (1, 9)","NA (NA, NA)","1 (0, 3)","2 (1, 5)","4 (2, 7)","1 (0, 3)","2 (1, 5)","4 (2, 7)","1 (0, 3)","2 (1, 5)","4 (2, 8)","1 (0, 3)","2 (1, 5)","NA (NA, NA)"
"The Gambia (2020)","2 (1, 4)","2 (0, 3)","3 (1, 5)","4 (2, 8)","2 (1, 4)","2 (0, 3)","3 (1, 5)","4 (2, 8)","4 (2, 9)","3 (1, 5)","5 (2, 10)","2 (1, 4)","2 (0, 3)","3 (1, 5)","4 (2, 8)","2 (0, 3)","3 (1, 5)","4 (2, 8)","2 (0, 3)","3 (1, 5)","4 (2, 8)","2 (0, 3)","3 (1, 5)","NA (NA, NA)"
"Timor-Leste (2016)","2 (0, 4)","1 (0, 3)","2 (1, 5)","3 (1, 8)","1 (0, 4)","1 (0, 3)","2 (1, 5)","3 (1, 8)","NA (NA, NA)","1 (0, 4)","NA (NA, NA)","NA (NA, NA)","1 (0, 3)","2 (1, 5)","3 (1, 8)","1 (0, 3)","2 (1, 5)","3 (1, 8)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Togo (2014)","2 (1, 4)","2 (0, 4)","3 (1, 6)","4 (2, 8)","2 (1, 4)","2 (0, 4)","3 (1, 6)","4 (2, 8)","NA (NA, NA)","3 (1, 7)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Turkey (2019)","0 (0, 1)","0 (0, 1)","1 (1, 2)","1 (0, 2)","NA (NA, NA)","-17 (-17, -15)","-59 (-60, -58)","NA (NA, NA)","NA (NA, NA)","1 (0, 2)","NA (NA, NA)","NA (NA, NA)","-4 (-4, -4)","-21 (-22, -21)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","0 (0, 1)","1 (1, 2)","-25 (-26, -24)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Uganda (2016)","1 (0, 4.5)","1 (0, 4)","3 (1, 6)","4 (2, 10)","1 (0, 2)","1 (0, 4)","3 (1, 7)","4 (2, 10)","29.5 (14, 39)","3 (1, 7)","NA (NA, NA)","NA (NA, NA)","1 (0, 4)","3 (1, 6)","4 (2, 10)","1 (0, 4)","3 (1, 6)","4 (2, 10)","2 (1, 6)","4 (1, 10)","6 (2, 15)","5 (2, 10)","6 (2.5, 11)","NA (NA, NA)"
"Yemen (2013)","7 (3, 12)","3 (0, 7)","4 (2, 10)","6 (3, 15)","4 (2, 7)","3 (0, 7)","4 (2, 10)","6 (3, 15)","NA (NA, NA)","3 (0, 16)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","5 (2, 11)","7 (3, 16)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Zambia (2019)","1 (0, 5)","1 (0, 3)","3 (1, 6)","4 (2, 9)","NA (NA, NA)","1 (0, 4)","3 (1, 6)","4 (2, 9)","NA (NA, NA)","2 (0, 5)","3 (1, 7)","NA (NA, NA)","1 (0, 3)","3 (1, 6)","4 (2, 9)","1 (0, 3)","3 (1, 6)","4 (2, 9)","1 (0, 3)","3 (1, 6)","4 (2, 9)","1 (0, 4)","3 (1, 7)","NA (NA, NA)"
"Zimbabwe (2015)","0 (0, 1)","0 (0, 1)","1 (0, 3)","2 (1, 5)","NA (NA, NA)","0 (0, 1)","1 (0, 3)","2 (1, 6)","NA (NA, NA)","2 (0, 5)","NA (NA, NA)","NA (NA, NA)","0 (0, 1)","1 (0, 3)","2 (1, 5)","0 (0, 1)","1 (0, 3)","2 (1, 5)","0 (0, 1)","1 (0, 3)","2 (1, 5)","0 (0, 2)","1 (0, 4)","NA (NA, NA)"
