"country","year","total_survey_children","total_male","total_female","age_range","median_age","age_iqr","vaccine","total_children_intro","prop_children_intro","total_w_data","prop_w_data","total_1ye_buff_intro","prop_1ye_buff_intro","total_2ye_buff_intro","prop_2ye_buff_intro","total_unvax1","prop_unvax1","total_vax1","prop_vax1","total_vax_date_data1","prop_vax_date1","total_unvax2","prop_unvax2","total_vax2","prop_vax2","total_vax_date_data2","prop_vax_date2"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","HepB-BD","6019","100","3654","60.71","2568","70.28","1304","35.69","200","7.79","2368","92.21","2025","85.52","97","7.44","1207","92.56","1018","84.34"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","HepB-D1","6019","100","3606","59.91","3606","100","3606","100","0","0","0","0","0","NaN","0","0","0","0","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","HepB-D2","6019","100","3596","59.74","3596","100","3596","100","0","0","0","0","0","NaN","0","0","0","0","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","HepB-D3","6019","100","3580","59.48","3580","100","3580","100","0","0","0","0","0","NaN","0","0","0","0","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","Hib-D1","6019","100","3606","59.91","3606","100","3606","100","0","0","0","0","0","NaN","0","0","0","0","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","Hib-D2","6019","100","3596","59.74","3596","100","3596","100","0","0","0","0","0","NaN","0","0","0","0","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","Hib-D3","6019","100","3580","59.48","3580","100","3580","100","0","0","0","0","0","NaN","0","0","0","0","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","IPV-D1","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","IPV-D2","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","MCV-D1","6019","100","3530","58.65","2314","65.55","1041","29.49","318","13.74","1996","86.26","1740","87.17","131","12.58","910","87.42","796","87.47"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","MCV-D2","6019","100","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","OPV-BD","6019","100","3649","60.62","2561","70.18","1297","35.54","180","7.03","2381","92.97","2128","89.37","89","6.86","1208","93.14","1066","88.25"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","OPV-D1","6019","100","3645","60.56","3645","100","3645","100","0","0","0","0","0","NaN","0","0","0","0","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","OPV-D2","6019","100","3642","60.51","3642","100","3642","100","0","0","0","0","0","NaN","0","0","0","0","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","OPV-D3","6019","100","3634","60.38","3634","100","3634","100","0","0","0","0","0","NaN","0","0","0","0","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","PCV-D1","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","PCV-D2","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","PCV-D3","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","RV-D1","6019","100","3553","59.03","3553","100","3553","100","0","0","0","0","0","NaN","0","0","0","0","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","RV-D2","6019","100","3538","58.78","3538","100","3538","100","0","0","0","0","0","NaN","0","0","0","0","0","NaN"
"Tajikistan","2017","6019","3036","2983","(0, 61)","29","(15, 45)","RV-D3","6019","100","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"Tanzania","2016","9713","4852","4861","(0, 61)","28","(14, 45)","BCG","9713","100","6091","62.71","4109","67.46","1972","32.38","164","3.99","3945","96.01","3063","77.64","79","4.01","1893","95.99","1344","71"
"Tanzania","2016","9713","4852","4861","(0, 61)","28","(14, 45)","DTP-D1","9713","100","6090","62.7","3947","64.81","1803","29.61","145","3.67","3802","96.33","3015","79.3","70","3.88","1733","96.12","1259","72.65"
"Tanzania","2016","9713","4852","4861","(0, 61)","28","(14, 45)","DTP-D2","9713","100","6090","62.7","3947","64.81","1803","29.61","246","6.23","3701","93.77","2953","79.79","108","5.99","1695","94.01","1249","73.69"
"Tanzania","2016","9713","4852","4861","(0, 61)","28","(14, 45)","DTP-D3","9713","100","6090","62.7","3947","64.81","1803","29.61","435","11.02","3512","88.98","2856","81.32","193","10.7","1610","89.3","1213","75.34"
"Tanzania","2016","9713","4852","4861","(0, 61)","28","(14, 45)","HepB-BD","9713","100","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"Tanzania","2016","9713","4852","4861","(0, 61)","28","(14, 45)","HepB-D1","9713","100","6090","62.7","3947","64.81","1803","29.61","145","3.67","3802","96.33","3015","79.3","70","3.88","1733","96.12","1259","72.65"
