"Vaccine","Characteristic","Levels","Data Available (n)","Data Not Available (n)","Data Available (%)","Data Not Availanle (%)","Chi2","Flag 5%","Flag 10%","Flag 20%"
"HepB-BD","Husband's Occupation","No work","3597","18901","3.79","5.06","0","","",""
"","","Prof/Manager/Clerical/Sales","22030","81912","23.22","21.93","","","",""
"","","Agricultural","30967","136761","32.64","36.61","","","",""
"","","Household/Services","20254","42199","21.35","11.3","","*","**",""
"","","Manual work","18036","93808","19.01","25.11","","*","",""
"HepB-D1","Sex at birth","Male","178481","200712","51.07","50.92","0.208536250465313","","",""
"","","Female","171034","193467","48.93","49.08","","","",""
"HepB-D1","Health Card","No card","30421","25888","8.7","17.19","0","*","",""
"","","Yes - Seen","256573","78283","73.41","51.98","","*","**","***"
"","","Yes - Not Seen","30308","37754","8.67","25.07","","*","**",""
"","","Lost","31356","8645","8.97","5.74","","","",""
"","","Other","835","20","0.24","0.01","","","",""
"HepB-D1","Urban/Rural","Urban","102529","121018","29.33","30.7","1.17105146401375e-37","","",""
"","","Rural","246986","273161","70.67","69.3","","","",""
"HepB-D1","Residence","City","108","1300","13.27","16.81","0.0240283737392162","","",""
"","","Town","237","2264","29.12","29.27","","","",""
"","","Countryside","469","4171","57.62","53.92","","","",""
"HepB-D1","Wealth Quintile","Poorest","91147","103181","26.08","26.18","0.00533185228290003","","",""
"","","Poor","78046","87017","22.33","22.08","","","",""
"","","Middle","69179","77364","19.79","19.63","","","",""
"","","Rich","60657","69129","17.35","17.54","","","",""
"","","Richest","50486","57488","14.44","14.58","","","",""
"HepB-D1","Mother's Education","None","91544","113118","26.19","29.87","0","","",""
"","","Primary","82784","99090","23.69","26.16","","","",""
"","","Secondary","137917","134294","39.46","35.46","","","",""
"","","Higher","37269","32262","10.66","8.52","","","",""
"HepB-D1","Mother's Marital Status","Not married","13577","12333","3.88","3.22","0","","",""
"","","Married/Living together","323553","350019","92.57","91.26","","","",""
"","","Widowed/Divorced/Not living together","12385","21182","3.54","5.52","","","",""
"HepB-D1","Husband's Education","None","54691","69956","26.7","26.99","2.52544631885262e-128","","",""
"","","Primary","52824","68587","25.79","26.46","","","",""
"","","Secondary","73003","95601","35.64","36.88","","","",""
"","","Higher","24343","25092","11.88","9.68","","","",""
"HepB-D1","Husband's Occupation","No work","12393","10105","6.06","3.83","0","","",""
"","","Prof/Manager/Clerical/Sales","45728","58214","22.38","22.04","","","",""
"","","Agricultural","68182","99546","33.37","37.69","","","",""
"","","Household/Services","30475","31978","14.91","12.11","","","",""
"","","Manual work","47572","64272","23.28","24.33","","","",""
"HepB-D2","Sex at birth","Male","178414","200779","51.07","50.92","0.207161243340615","","",""
"","","Female","170968","193533","48.93","49.08","","","",""
"HepB-D2","Health Card","No card","30391","25918","8.7","17.2","0","*","",""
"","","Yes - Seen","256563","78293","73.44","51.94","","*","**","***"
"","","Yes - Not Seen","30218","37844","8.65","25.11","","*","**",""
"","","Lost","31354","8647","8.97","5.74","","","",""
"","","Other","834","21","0.24","0.01","","","",""
"HepB-D2","Urban/Rural","Urban","102452","121095","29.32","30.71","1.01893544213186e-38","","",""
"","","Rural","246930","273217","70.68","69.29","","","",""
"HepB-D2","Residence","City","108","1300","13.27","16.81","0.0240283737392162","","",""
"","","Town","237","2264","29.12","29.27","","","",""
"","","Countryside","469","4171","57.62","53.92","","","",""
"HepB-D2","Wealth Quintile","Poorest","91108","103220","26.08","26.18","0.00559481359539969","","",""
"","","Poor","78020","87043","22.33","22.07","","","",""
"","","Middle","69147","77396","19.79","19.63","","","",""
"","","Rich","60635","69151","17.35","17.54","","","",""
"","","Richest","50472","57502","14.45","14.58","","","",""
"HepB-D2","Mother's Education","None","91528","113134","26.2","29.86","0","","",""
"","","Primary","82754","99120","23.69","26.16","","","",""
"","","Secondary","137847","134364","39.45","35.46","","","",""
"","","Higher","37252","32279","10.66","8.52","","","",""
"HepB-D2","Mother's Marital Status","Not married","13577","12333","3.89","3.21","0","","",""
"","","Married/Living together","323420","350152","92.57","91.26","","","",""
"","","Widowed/Divorced/Not living together","12385","21182","3.54","5.52","","","",""
"HepB-D2","Husband's Education","None","54687","69960","26.71","26.97","6.26467666667209e-128","","",""
"","","Primary","52785","68626","25.78","26.46","","","",""
"","","Secondary","72935","95669","35.63","36.89","","","",""
"","","Higher","24322","25113","11.88","9.68","","","",""
"HepB-D2","Husband's Occupation","No work","12393","10105","6.07","3.83","0","","",""
"","","Prof/Manager/Clerical/Sales","45720","58222","22.38","22.04","","","",""
"","","Agricultural","68177","99551","33.37","37.69","","","",""
"","","Household/Services","30474","31979","14.91","12.11","","","",""
"","","Manual work","47566","64278","23.28","24.34","","","",""
"HepB-D3","Sex at birth","Male","178401","200792","51.06","50.92","0.211022483613696","","",""
"","","Female","170960","193541","48.94","49.08","","","",""
"HepB-D3","Health Card","No card","30390","25919","8.7","17.19","0","*","",""
"","","Yes - Seen","256547","78309","73.44","51.95","","*","**","***"
"","","Yes - Not Seen","30217","37845","8.65","25.11","","*","**",""
"","","Lost","31352","8649","8.97","5.74","","","",""
"","","Other","833","22","0.24","0.01","","","",""
"HepB-D3","Urban/Rural","Urban","102445","121102","29.32","30.71","9.72932229914061e-39","","",""
"","","Rural","246916","273231","70.68","69.29","","","",""
"HepB-D3","Residence","City","108","1300","13.27","16.81","0.0240283737392162","","",""
"","","Town","237","2264","29.12","29.27","","","",""
"","","Countryside","469","4171","57.62","53.92","","","",""
"HepB-D3","Wealth Quintile","Poorest","91102","103226","26.08","26.18","0.00516140913615792","","",""
"","","Poor","78018","87045","22.33","22.07","","","",""
"","","Middle","69145","77398","19.79","19.63","","","",""
"","","Rich","60631","69155","17.35","17.54","","","",""
"","","Richest","50465","57509","14.44","14.58","","","",""
"HepB-D3","Mother's Education","None","91527","113135","26.2","29.86","0","","",""
"","","Primary","82753","99121","23.69","26.16","","","",""
"","","Secondary","137833","134378","39.45","35.46","","","",""
"","","Higher","37247","32284","10.66","8.52","","","",""
"HepB-D3","Mother's Marital Status","Not married","13577","12333","3.89","3.21","0","","",""
"","","Married/Living together","323400","350172","92.57","91.26","","","",""
"","","Widowed/Divorced/Not living together","12384","21183","3.54","5.52","","","",""
"HepB-D3","Husband's Education","None","54687","69960","26.71","26.97","1.79626181605491e-127","","",""
"","","Primary","52785","68626","25.79","26.46","","","",""
"","","Secondary","72924","95680","35.62","36.89","","","",""
"","","Higher","24315","25120","11.88","9.68","","","",""
"HepB-D3","Husband's Occupation","No work","12390","10108","6.06","3.83","0","","",""
"","","Prof/Manager/Clerical/Sales","45718","58224","22.38","22.04","","","",""
"","","Agricultural","68174","99554","33.37","37.69","","","",""
"","","Household/Services","30467","31986","14.91","12.11","","","",""
"","","Manual work","47562","64282","23.28","24.34","","","",""
"Hib-D1","Sex at birth","Male","107338","271855","50.71","51.1","0.00257873604038895","","",""
"","","Female","104330","260171","49.29","48.9","","","",""
"Hib-D1","Health Card","No card","25252","31057","11.93","10.77","0","","",""
"","","Yes - Seen","140273","194583","66.28","67.46","","","",""
"","","Yes - Not Seen","17676","50386","8.35","17.47","","*","",""
"","","Lost","27610","12391","13.05","4.3","","*","",""
"","","Other","835","20","0.39","0.01","","","",""
"Hib-D1","Urban/Rural","Urban","73915","149632","34.92","28.12","0","*","",""
"","","Rural","137753","382394","65.08","71.88","","*","",""
"Hib-D1","Residence","City","108","1300","13.2","16.82","0.0199824794558256","","",""
"","","Town","238","2263","29.1","29.27","","","",""
"","","Countryside","472","4168","57.7","53.91","","","",""
"Hib-D1","Wealth Quintile","Poorest","54512","139816","25.75","26.28","8.64767381240433e-17","","",""
"","","Poor","46180","118883","21.82","22.35","","","",""
"","","Middle","42283","104260","19.98","19.6","","","",""
"","","Rich","37092","92694","17.52","17.42","","","",""
"","","Richest","31601","76373","14.93","14.36","","","",""
"Hib-D1","Mother's Education","None","64281","140381","30.37","27.17","0","","",""
"","","Primary","64409","117465","30.43","22.74","","*","",""
"","","Secondary","66254","205957","31.3","39.87","","*","",""
"","","Higher","16723","52808","7.9","10.22","","","",""
"Hib-D1","Mother's Marital Status","Not married","13364","12546","6.31","2.41","0","","",""
"","","Married/Living together","187496","486076","88.58","93.23","","","",""
"","","Widowed/Divorced/Not living together","10808","22759","5.11","4.37","","","",""
"Hib-D1","Husband's Education","None","50985","73662","28.51","25.82","2.66314776948936e-285","","",""
"","","Primary","48234","73177","26.97","25.65","","","",""
"","","Secondary","59285","109319","33.15","38.32","","*","",""
"","","Higher","20327","29108","11.37","10.2","","","",""
"Hib-D1","Husband's Occupation","No work","12391","10107","6.9","3.5","0","","",""
"","","Prof/Manager/Clerical/Sales","43040","60902","23.95","21.09","","","",""
"","","Agricultural","63071","104657","35.1","36.24","","","",""
"","","Household/Services","17351","45102","9.66","15.62","","*","",""
"","","Manual work","43853","67991","24.4","23.55","","","",""
"Hib-D2","Sex at birth","Male","107327","271866","50.71","51.1","0.00252129513755485","","",""
"","","Female","104322","260179","49.29","48.9","","","",""
"Hib-D2","Health Card","No card","25251","31058","11.93","10.77","0","","",""
"","","Yes - Seen","140263","194593","66.28","67.46","","","",""
"","","Yes - Not Seen","17671","50391","8.35","17.47","","*","",""
"","","Lost","27608","12393","13.05","4.3","","*","",""
"","","Other","834","21","0.39","0.01","","","",""
"Hib-D2","Urban/Rural","Urban","73907","149640","34.92","28.13","0","*","",""
"","","Rural","137742","382405","65.08","71.87","","*","",""
"Hib-D2","Residence","City","108","1300","13.2","16.82","0.0199824794558256","","",""
"","","Town","238","2263","29.1","29.27","","","",""
"","","Countryside","472","4168","57.7","53.91","","","",""
"Hib-D2","Wealth Quintile","Poorest","54508","139820","25.75","26.28","1.00896353307942e-16","","",""
"","","Poor","46177","118886","21.82","22.35","","","",""
"","","Middle","42280","104263","19.98","19.6","","","",""
"","","Rich","37089","92697","17.52","17.42","","","",""
"","","Richest","31595","76379","14.93","14.36","","","",""
"Hib-D2","Mother's Education","None","64279","140383","30.37","27.17","0","","",""
"","","Primary","64406","117468","30.43","22.74","","*","",""
"","","Secondary","66242","205969","31.3","39.87","","*","",""
"","","Higher","16721","52810","7.9","10.22","","","",""
"Hib-D2","Mother's Marital Status","Not married","13364","12546","6.31","2.41","0","","",""
"","","Married/Living together","187477","486095","88.58","93.23","","","",""
"","","Widowed/Divorced/Not living together","10808","22759","5.11","4.36","","","",""
"Hib-D2","Husband's Education","None","50984","73663","28.51","25.82","7.98889626691931e-286","","",""
"","","Primary","48232","73179","26.97","25.65","","","",""
"","","Secondary","59273","109331","33.15","38.32","","*","",""
"","","Higher","20324","29111","11.37","10.2","","","",""
"Hib-D2","Husband's Occupation","No work","12391","10107","6.9","3.5","0","","",""
"","","Prof/Manager/Clerical/Sales","43033","60909","23.95","21.09","","","",""
"","","Agricultural","63066","104662","35.1","36.24","","","",""
"","","Household/Services","17350","45103","9.66","15.62","","*","",""
"","","Manual work","43848","67996","24.4","23.55","","","",""
"Hib-D3","Sex at birth","Male","107316","271877","50.71","51.1","0.00242267206032834","","",""
"","","Female","104316","260185","49.29","48.9","","","",""
"Hib-D3","Health Card","No card","25251","31058","11.93","10.77","0","","",""
"","","Yes - Seen","140247","194609","66.28","67.46","","","",""
"","","Yes - Not Seen","17671","50391","8.35","17.47","","*","",""
"","","Lost","27608","12393","13.05","4.3","","*","",""
"","","Other","833","22","0.39","0.01","","","",""
"Hib-D3","Urban/Rural","Urban","73901","149646","34.92","28.13","0","*","",""
"","","Rural","137731","382416","65.08","71.87","","*","",""
"Hib-D3","Residence","City","108","1300","13.2","16.82","0.0199824794558256","","",""
"","","Town","238","2263","29.1","29.27","","","",""
"","","Countryside","472","4168","57.7","53.91","","","",""
"Hib-D3","Wealth Quintile","Poorest","54505","139823","25.75","26.28","1.23586772863854e-16","","",""
"","","Poor","46175","118888","21.82","22.34","","","",""
"","","Middle","42279","104264","19.98","19.6","","","",""
"","","Rich","37085","92701","17.52","17.42","","","",""
"","","Richest","31588","76386","14.93","14.36","","","",""
"Hib-D3","Mother's Education","None","64278","140384","30.37","27.17","0","","",""
"","","Primary","64405","117469","30.43","22.74","","*","",""
"","","Secondary","66230","205981","31.3","39.87","","*","",""
"","","Higher","16718","52813","7.9","10.22","","","",""
"Hib-D3","Mother's Marital Status","Not married","13364","12546","6.31","2.41","0","","",""
"","","Married/Living together","187460","486112","88.58","93.23","","","",""
"","","Widowed/Divorced/Not living together","10808","22759","5.11","4.36","","","",""
"Hib-D3","Husband's Education","None","50984","73663","28.51","25.82","3.24628994266115e-286","","",""
"","","Primary","48232","73179","26.98","25.65","","","",""
"","","Secondary","59263","109341","33.15","38.33","","*","",""
"","","Higher","20319","29116","11.36","10.21","","","",""
"Hib-D3","Husband's Occupation","No work","12388","10110","6.89","3.5","0","","",""
"","","Prof/Manager/Clerical/Sales","43031","60911","23.95","21.09","","","",""
"","","Agricultural","63065","104663","35.1","36.24","","","",""
"","","Household/Services","17343","45110","9.65","15.62","","*","",""
"","","Manual work","43845","67999","24.4","23.55","","","",""
"PCV-D1","Sex at birth","Male","105043","274150","50.85","51.04","0.128964893289177","","",""
"","","Female","101549","262952","49.15","48.96","","","",""
"PCV-D1","Health Card","No card","22046","34263","10.67","11.67","0","","",""
"","","Yes - Seen","143600","191256","69.51","65.16","","","",""
"","","Yes - Not Seen","14768","53294","7.15","18.16","","*","**",""
"","","Lost","25339","14662","12.27","5","","*","",""
"","","Other","834","21","0.4","0.01","","","",""
"PCV-D1","Urban/Rural","Urban","69755","153792","33.76","28.63","0","*","",""
"","","Rural","136837","383310","66.24","71.37","","*","",""
"PCV-D1","Residence","City","107","1301","13.23","16.81","0.0214849843935228","","",""
"","","Town","235","2266","29.05","29.28","","","",""
"","","Countryside","467","4173","57.73","53.91","","","",""
"PCV-D1","Wealth Quintile","Poorest","54004","140324","26.14","26.13","0.000533466575072138","","",""
"","","Poor","45241","119822","21.9","22.31","","","",""
"","","Middle","41006","105537","19.85","19.65","","","",""
"","","Rich","36004","93782","17.43","17.46","","","",""
"","","Richest","30337","77637","14.68","14.45","","","",""
"PCV-D1","Mother's Education","None","63791","140871","30.88","27","0","","",""
"","","Primary","72613","109261","35.15","20.94","","*","**",""
"","","Secondary","58047","214164","28.1","41.05","","*","**",""
"","","Higher","12140","57391","5.88","11","","*","",""
"PCV-D1","Mother's Marital Status","Not married","14296","11614","6.92","2.21","0","","",""
"","","Married/Living together","179535","494037","86.9","93.84","","*","",""
"","","Widowed/Divorced/Not living together","12761","20806","6.18","3.95","","","",""
"PCV-D1","Husband's Education","None","50039","74608","28.8","25.7","0","","",""
"","","Primary","55747","65664","32.08","22.62","","*","",""
"","","Secondary","51506","117098","29.64","40.33","","*","**",""
"","","Higher","16472","32963","9.48","11.35","","","",""
"PCV-D1","Husband's Occupation","No work","9805","12693","5.65","4.3","0","","",""
"","","Prof/Manager/Clerical/Sales","38300","65642","22.08","22.25","","","",""
"","","Agricultural","65938","101790","38.01","34.5","","","",""
"","","Household/Services","14366","48087","8.28","16.3","","*","",""
"","","Manual work","45046","66798","25.97","22.64","","","",""
"PCV-D2","Sex at birth","Male","104928","274265","50.85","51.04","0.141562297188641","","",""
"","","Female","101420","263081","49.15","48.96","","","",""
"PCV-D2","Health Card","No card","22016","34293","10.67","11.67","0","","",""
"","","Yes - Seen","143600","191256","69.59","65.11","","","",""
"","","Yes - Not Seen","14600","53462","7.08","18.2","","*","**",""
"","","Lost","25293","14708","12.26","5.01","","*","",""
"","","Other","834","21","0.4","0.01","","","",""
"PCV-D2","Urban/Rural","Urban","69623","153924","33.74","28.65","0","*","",""
"","","Rural","136725","383422","66.26","71.35","","*","",""
"PCV-D2","Residence","City","107","1301","13.23","16.81","0.0214849843935228","","",""
"","","Town","235","2266","29.05","29.28","","","",""
"","","Countryside","467","4173","57.73","53.91","","","",""
"PCV-D2","Wealth Quintile","Poorest","53943","140385","26.14","26.13","0.000483117317091327","","",""
"","","Poor","45182","119881","21.9","22.31","","","",""
"","","Middle","40954","105589","19.85","19.65","","","",""
"","","Rich","35964","93822","17.43","17.46","","","",""
"","","Richest","30305","77669","14.69","14.45","","","",""
"PCV-D2","Mother's Education","None","63756","140906","30.9","27","0","","",""
"","","Primary","72540","109334","35.15","20.95","","*","**",""
"","","Secondary","57939","214272","28.08","41.05","","*","**",""
"","","Higher","12112","57419","5.87","11","","*","",""
"PCV-D2","Mother's Marital Status","Not married","14278","11632","6.92","2.21","0","","",""
"","","Married/Living together","179326","494246","86.9","93.84","","*","",""
"","","Widowed/Divorced/Not living together","12744","20823","6.18","3.95","","","",""
"PCV-D2","Husband's Education","None","50029","74618","28.83","25.68","0","","",""
"","","Primary","55682","65729","32.08","22.62","","*","",""
"","","Secondary","51397","117207","29.62","40.34","","*","**",""
"","","Higher","16438","32997","9.47","11.36","","","",""
"PCV-D2","Husband's Occupation","No work","9802","12696","5.65","4.3","0","","",""
"","","Prof/Manager/Clerical/Sales","38284","65658","22.08","22.25","","","",""
"","","Agricultural","65911","101817","38.02","34.5","","","",""
"","","Household/Services","14359","48094","8.28","16.3","","*","",""
"","","Manual work","45011","66833","25.96","22.65","","","",""
"PCV-D3","Sex at birth","Male","100343","278850","50.82","51.05","0.0794529647098239","","",""
"","","Female","97111","267390","49.18","48.95","","","",""
"PCV-D3","Health Card","No card","21687","34622","10.98","11.44","0","","",""
"","","Yes - Seen","136309","198547","69.03","65.61","","","",""
"","","Yes - Not Seen","13523","54539","6.85","18.02","","*","**",""
"","","Lost","25100","14901","12.71","4.92","","*","",""
"","","Other","832","23","0.42","0.01","","","",""
"PCV-D3","Urban/Rural","Urban","66489","157058","33.67","28.75","0","","",""
"","","Rural","130965","389182","66.33","71.25","","","",""
"PCV-D3","Residence","City","107","1301","13.23","16.81","0.0214849843935228","","",""
"","","Town","235","2266","29.05","29.28","","","",""
"","","Countryside","467","4173","57.73","53.91","","","",""
"PCV-D3","Wealth Quintile","Poorest","51117","143211","25.89","26.22","5.41249508992196e-13","","",""
"","","Poor","43001","122062","21.78","22.35","","","",""
"","","Middle","39207","107336","19.86","19.65","","","",""
"","","Rich","34642","95144","17.54","17.42","","","",""
"","","Richest","29487","78487","14.93","14.37","","","",""
"PCV-D3","Mother's Education","None","61566","143096","31.69","26.8","0","","",""
"","","Primary","66163","115711","34.05","21.67","","*","**",""
"","","Secondary","54933","217278","28.27","40.69","","*","**",""
"","","Higher","11636","57895","5.99","10.84","","","",""
"PCV-D3","Mother's Marital Status","Not married","13735","12175","6.96","2.27","0","","",""
"","","Married/Living together","171925","501647","87.07","93.66","","*","",""
"","","Widowed/Divorced/Not living together","11794","21773","5.97","4.07","","","",""
"PCV-D3","Husband's Education","None","48519","76128","29.94","25.21","0","","",""
"","","Primary","49567","71844","30.59","23.79","","*","",""
"","","Secondary","48068","120536","29.66","39.91","","*","**",""
"","","Higher","15908","33527","9.82","11.1","","","",""
"PCV-D3","Husband's Occupation","No work","9853","12645","5.97","4.17","0","","",""
"","","Prof/Manager/Clerical/Sales","37378","66564","22.64","21.94","","","",""
"","","Agricultural","61077","106651","36.99","35.16","","","",""
"","","Household/Services","13956","48497","8.45","15.99","","*","",""
"","","Manual work","42853","68991","25.95","22.74","","","",""
"RV-D1","Sex at birth","Male","161316","217877","51.11","50.9","0.0787075135113053","","",""
"","","Female","154330","210171","48.89","49.1","","","",""
"RV-D1","Health Card","No card","16743","39566","5.3","21.45","0","*","**",""
"","","Yes - Seen","249155","85701","78.94","46.46","","*","**","***"
"","","Yes - Not Seen","25581","42481","8.1","23.03","","*","**",""
"","","Lost","23330","16671","7.39","9.04","","","",""
"","","Other","830","25","0.26","0.01","","","",""
"RV-D1","Urban/Rural","Urban","92348","131199","29.26","30.65","2.24900005179029e-38","","",""
"","","Rural","223298","296849","70.74","69.35","","","",""
"RV-D1","Residence","City","1308","100","16.63","14.6","0.131112533895571","","",""
"","","Town","2280","221","28.99","32.26","","","",""
"","","Countryside","4276","364","54.37","53.14","","","",""
"RV-D1","Wealth Quintile","Poorest","85232","109096","27","25.49","2.79000099706372e-128","","",""
"","","Poor","71706","93357","22.72","21.81","","","",""
"","","Middle","62232","84311","19.72","19.7","","","",""
"","","Rich","53351","76435","16.9","17.86","","","",""
"","","Richest","43125","64849","13.66","15.15","","","",""
"RV-D1","Mother's Education","None","73842","130820","23.39","31.7","0","*","",""
"","","Primary","85710","96164","27.15","23.3","","","",""
"","","Secondary","123996","148215","39.28","35.92","","","",""
"","","Higher","32097","37434","10.17","9.07","","","",""
"RV-D1","Mother's Marital Status","Not married","14525","11385","4.6","2.73","0","","",""
"","","Married/Living together","286019","387553","90.61","92.85","","","",""
"","","Widowed/Divorced/Not living together","15102","18465","4.78","4.42","","","",""
"RV-D1","Husband's Education","None","41134","83513","23.79","28.68","0","","",""
"","","Primary","54842","66569","31.72","22.86","","*","",""
"","","Secondary","60626","107978","35.07","37.08","","","",""
"","","Higher","16282","33153","9.42","11.38","","","",""
"RV-D1","Husband's Occupation","No work","9343","13155","5.68","4.33","0","","",""
"","","Prof/Manager/Clerical/Sales","32350","71592","19.66","23.56","","","",""
"","","Agricultural","57638","110090","35.02","36.23","","","",""
"","","Household/Services","26113","36340","15.87","11.96","","","",""
"","","Manual work","39125","72719","23.77","23.93","","","",""
"RV-D2","Sex at birth","Male","161170","218023","51.1","50.9","0.086871107706682","","",""
"","","Female","154209","210292","48.9","49.1","","","",""
"RV-D2","Health Card","No card","16739","39570","5.31","21.42","0","*","**",""
"","","Yes - Seen","249140","85716","79","46.41","","*","**","***"
"","","Yes - Not Seen","25369","42693","8.04","23.11","","*","**",""
"","","Lost","23294","16707","7.39","9.04","","","",""
"","","Other","830","25","0.26","0.01","","","",""
"RV-D2","Urban/Rural","Urban","92210","131337","29.24","30.66","4.49474227122611e-40","","",""
"","","Rural","223169","296978","70.76","69.34","","","",""
"RV-D2","Residence","City","1308","100","16.63","14.6","0.131112533895571","","",""
"","","Town","2280","221","28.99","32.26","","","",""
"","","Countryside","4276","364","54.37","53.14","","","",""
"RV-D2","Wealth Quintile","Poorest","85165","109163","27","25.49","2.28369846927473e-129","","",""
"","","Poor","71656","93407","22.72","21.81","","","",""
"","","Middle","62186","84357","19.72","19.7","","","",""
"","","Rich","53304","76482","16.9","17.86","","","",""
"","","Richest","43068","64906","13.66","15.15","","","",""
"RV-D2","Mother's Education","None","73835","130827","23.41","31.68","0","*","",""
"","","Primary","85604","96270","27.14","23.32","","","",""
"","","Secondary","123895","148316","39.28","35.92","","","",""
"","","Higher","32044","37487","10.16","9.08","","","",""
"RV-D2","Mother's Marital Status","Not married","14509","11401","4.6","2.73","0","","",""
"","","Married/Living together","285832","387740","90.63","92.83","","","",""
"","","Widowed/Divorced/Not living together","15038","18529","4.77","4.44","","","",""
"RV-D2","Husband's Education","None","41129","83518","23.82","28.66","0","","",""
"","","Primary","54740","66671","31.71","22.88","","*","",""
"","","Secondary","60528","108076","35.06","37.08","","","",""
"","","Higher","16247","33188","9.41","11.39","","","",""
"RV-D2","Husband's Occupation","No work","9342","13156","5.69","4.33","0","","",""
"","","Prof/Manager/Clerical/Sales","32274","71668","19.64","23.56","","","",""
"","","Agricultural","57604","110124","35.06","36.21","","","",""
"","","Household/Services","26086","36367","15.88","11.96","","","",""
"","","Manual work","39013","72831","23.74","23.95","","","",""
"RV-D3","Sex at birth","Male","89849","289344","51.26","50.9","0.00934145342683118","","",""
"","","Female","85434","279067","48.74","49.1","","","",""
"RV-D3","Health Card","No card","6207","50102","3.54","15.43","0","*","**",""
"","","Yes - Seen","145951","188905","83.27","58.16","","*","**","***"
"","","Yes - Not Seen","15034","53028","8.58","16.33","","*","",""
"","","Lost","8089","31912","4.61","9.83","","*","",""
"","","Other","0","855","0","0.26","","","",""
"RV-D3","Urban/Rural","Urban","43319","180228","24.71","31.71","0","*","",""
"","","Rural","131964","388183","75.29","68.29","","*","",""
"RV-D3","Residence","City","0","1408","NaN","16.47","NaN",NA,NA,NA
"","","Town","0","2501","NaN","29.25","",NA,NA,NA
"","","Countryside","0","4640","NaN","54.28","",NA,NA,NA
"RV-D3","Wealth Quintile","Poorest","47066","147262","26.85","25.91","1.20504823182439e-83","","",""
"","","Poor","40596","124467","23.16","21.9","","","",""
"","","Middle","34614","111929","19.75","19.69","","","",""
"","","Rich","29551","100235","16.86","17.63","","","",""
"","","Richest","23456","84518","13.38","14.87","","","",""
"RV-D3","Mother's Education","None","43187","161475","24.64","29.2","0","","",""
"","","Primary","27910","153964","15.92","27.84","","*","**",""
"","","Secondary","80202","192009","45.76","34.72","","*","**",""
"","","Higher","23983","45548","13.68","8.24","","*","",""
"RV-D3","Mother's Marital Status","Not married","2643","23267","1.51","4.17","0","","",""
"","","Married/Living together","168784","504788","96.29","90.5","","*","",""
"","","Widowed/Divorced/Not living together","3856","29711","2.2","5.33","","","",""
"RV-D3","Husband's Education","None","18134","106513","30.8","26.29","0","","",""
"","","Primary","11711","109700","19.89","27.07","","*","",""
"","","Secondary","21820","146784","37.06","36.22","","","",""
"","","Higher","7209","42226","12.24","10.42","","","",""
"RV-D3","Husband's Occupation","No work","2782","19716","4.69","4.82","0","","",""
"","","Prof/Manager/Clerical/Sales","11300","92642","19.04","22.64","","","",""
"","","Agricultural","16884","150844","28.45","36.87","","*","",""
"","","Household/Services","17348","45105","29.23","11.02","","*","**",""
"","","Manual work","11032","100812","18.59","24.64","","*","",""
