"country","birth_cohort","total_survey_children","total_male","total_female","age_range","median_age","age_iqr","vaccine","total_countries","no_countries_intro","prop_countries_intro","no_countries_notvax","prop_countries_notvax","coun_w_data","prop_coun_w_data","total_children_intro","prop_children_intro","total_w_data","prop_w_data","total_1ye_buff_intro","prop_1ye_buff_intro","total_2ye_buff_intro","prop_2ye_buff_intro","total_unvax1","prop_unvax1","total_vax1","prop_vax1","total_vax_date_data1","prop_vax_date1","total_unvax2","prop_unvax2","total_vax2","prop_vax2","total_vax_date_data2","prop_vax_date2"
"All","2011","41575","21153","20422","(0, 61)","34","(19, 49)","OPV-D2","28","28","100","0","0","18","64","41575","100","31145","74.91","25090","80.56","21223","68.14","3573","14.24","16056","63.99","7239","45.09","2950","13.9","12812","60.37","4905","38.28"
"All","2012","44962","22560","22402","(0, 61)","33","(18, 47)","OPV-D2","33","33","100","0","0","21","64","44962","100","26003","57.83","21055","80.97","11220","43.15","3112","14.78","14208","67.48","6842","48.16","1530","13.64","5955","53.07","2636","44.27"
"All","2013","54156","27325","26831","(0, 61)","32","(14, 49)","OPV-D2","33","33","100","0","0","21","64","54156","100","30543","56.4","19224","62.94","13183","43.16","3369","17.52","12677","65.94","7839","61.84","2135","16.2","7870","59.7","4863","61.79"
"All","2014","62297","31811","30486","(0, 61)","38","(19, 51)","OPV-D2","38","38","100","0","0","24","63","62297","100","29673","47.63","22248","74.98","11645","39.24","3456","15.53","15375","69.11","10408","67.69","1416","12.16","6812","58.5","4142","60.8"
"All","2015","86955","44131","42824","(0, 61)","43","(25, 52)","OPV-D2","33","33","100","0","0","25","76","86955","100","35181","40.46","23877","67.87","15005","42.65","3596","15.06","18032","75.52","11748","65.15","2124","14.16","10632","70.86","6293","59.19"
"All","2016","91688","47174","44514","(0, 61)","38","(23, 46)","OPV-D2","34","34","100","0","0","30","88","91688","100","41997","45.8","32598","77.62","19011","45.27","6368","19.53","24529","75.25","16443","67.03","3975","20.91","13335","70.14","8581","64.35"
"All","2017","95255","48702","46553","(0, 61)","29","(18, 42)","OPV-D2","29","29","100","0","0","23","79","95255","100","64654","67.87","49297","76.25","31159","48.19","7953","16.13","40544","82.24","31829","78.5","4070","13.06","26289","84.37","21220","80.72"
"All","2018","82221","42015","40206","(0, 55)","20","(13, 33)","OPV-D2","24","24","100","0","0","22","92","82221","100","66257","80.58","46635","70.39","16808","25.37","6218","13.33","40378","86.58","34353","85.08","2392","14.23","14377","85.54","12109","84.22"
"All","2019","63352","32618","30734","(-1, 43)","12","(5, 24)","OPV-D2","16","16","100","0","0","15","94","63352","100","59159","93.38","27444","46.39","10418","17.61","4042","14.73","23375","85.17","19483","83.35","1792","17.2","8599","82.54","6458","75.1"
"All","2020","33035","16953","16082","(-1, 31)","11","(6, 17)","OPV-D2","13","13","100","0","0","12","92","33035","100","30948","93.68","12798","41.35","1786","5.77","2060","16.1","10731","83.85","8735","81.4","280","15.68","1499","83.93","1012","67.51"
"All","2021","15322","7750","7572","(0, 19)","6","(2, 9)","OPV-D2","10","10","100","0","0","9","90","15322","100","13594","88.72","1729","12.72","0","0","239","13.82","1490","86.18","1182","79.33","0","NaN","0","NaN","0","NaN"
"All","2022","1791","924","867","(0, 6)","2","(1, 3)","OPV-D2","2","2","100","0","0","2","100","1791","100","1788","99.83","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"All","2006","489","254","235","(55, 61)","59","(58, 60)","OPV-D3","3","3","100","0","0","2","67","489","100","213","43.56","213","100","213","100","62","29.11","151","70.89","109","72.19","62","29.11","151","70.89","109","72.19"
"All","2007","6128","3167","2961","(43, 60)","55","(52, 58)","OPV-D3","7","7","100","0","0","6","86","6128","100","4824","78.72","4824","100","4824","100","943","19.55","3197","66.27","2065","64.59","943","19.55","3197","66.27","2065","64.59"
"All","2008","11587","5910","5677","(31, 60)","47","(42, 52)","OPV-D3","12","12","100","0","0","12","100","11587","100","10436","90.07","10436","100","10436","100","2245","21.51","6240","59.79","4145","66.43","2245","21.51","6240","59.79","4145","66.43"
"All","2009","21450","10819","10631","(19, 60)","45","(34, 54)","OPV-D3","17","17","100","0","0","17","100","21450","100","20723","96.61","20723","100","19921","96.13","5931","28.62","12886","62.18","7356","57.09","5668","28.45","12347","61.98","6929","56.12"
"All","2010","31431","15927","15504","(7, 61)","41","(25, 50)","OPV-D3","21","21","100","0","0","17","81","31431","100","29710","94.52","28801","96.94","23072","77.66","7720","26.8","19173","66.57","11327","59.08","6364","27.58","14800","64.15","7842","52.99"
"All","2011","41575","21153","20422","(0, 61)","34","(19, 49)","OPV-D3","28","28","100","0","0","18","64","41575","100","31128","74.87","24476","78.63","20361","65.41","6334","25.88","16329","66.71","9261","56.72","5129","25.19","13419","65.91","6930","51.64"
"All","2012","44962","22560","22402","(0, 61)","33","(18, 47)","OPV-D3","33","33","100","0","0","21","64","44962","100","25999","57.82","21130","81.27","10834","41.67","5375","25.44","14725","69.69","8860","60.17","2449","22.6","7355","67.89","4537","61.69"
"All","2013","54156","27325","26831","(0, 61)","32","(14, 49)","OPV-D3","33","33","100","0","0","21","64","54156","100","30543","56.4","18538","60.69","10376","33.97","5581","30.11","12734","68.69","9295","72.99","3431","33.07","6722","64.78","4788","71.23"
"All","2014","62297","31811","30486","(0, 61)","38","(19, 51)","OPV-D3","38","38","100","0","0","24","63","62297","100","29673","47.63","19975","67.32","9121","30.74","5762","28.85","13203","66.1","10035","76.01","2463","27","5648","61.92","3936","69.69"
"All","2015","86955","44131","42824","(0, 61)","43","(25, 52)","OPV-D3","33","33","100","0","0","25","76","86955","100","35178","40.46","23422","66.58","14483","41.17","5649","24.12","15799","67.45","11042","69.89","3284","22.67","9225","63.7","5817","63.06"
"All","2016","91688","47174","44514","(0, 61)","38","(23, 46)","OPV-D3","34","34","100","0","0","30","88","91688","100","41977","45.78","32418","77.23","18944","45.13","10109","31.18","20174","62.23","15285","75.77","6419","33.88","10390","54.85","7995","76.95"
"All","2017","95255","48702","46553","(0, 61)","29","(18, 42)","OPV-D3","29","29","100","0","0","23","79","95255","100","64639","67.86","49229","76.16","31287","48.4","12711","25.82","35273","71.65","30441","86.3","6684","21.36","23358","74.66","20357","87.15"
"All","2018","82221","42015","40206","(0, 55)","20","(13, 33)","OPV-D3","24","24","100","0","0","22","92","82221","100","66248","80.57","46776","70.61","17044","25.73","9932","21.23","36379","77.77","32927","90.51","3680","21.59","12899","75.68","11655","90.36"
"All","2019","63352","32618","30734","(-1, 43)","12","(5, 24)","OPV-D3","16","16","100","0","0","15","94","63352","100","59159","93.38","27284","46.12","10212","17.26","6448","23.63","20809","76.27","18687","89.8","2994","29.32","7191","70.42","6080","84.55"
"All","2020","33035","16953","16082","(-1, 31)","11","(6, 17)","OPV-D3","13","13","100","0","0","12","92","33035","100","30948","93.68","12551","40.56","1731","5.59","3333","26.56","9211","73.39","8170","88.7","516","29.81","1208","69.79","945","78.23"
"All","2021","15322","7750","7572","(0, 19)","6","(2, 9)","OPV-D3","10","10","100","0","0","9","90","15322","100","13594","88.72","1669","12.28","0","0","427","25.58","1242","74.42","1099","88.49","0","NaN","0","NaN","0","NaN"
"All","2022","1791","924","867","(0, 6)","2","(1, 3)","OPV-D3","2","2","100","0","0","2","100","1791","100","1788","99.83","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"All","2006","489","254","235","(55, 61)","59","(58, 60)","PCV-D1","3","0","0","3","100","1","Inf","0","0","101","Inf","101","100","101","100","94","93.07","7","6.93","0","0","94","93.07","7","6.93","0","0"
"All","2007","6128","3167","2961","(43, 60)","55","(52, 58)","PCV-D1","7","3","43","6","86","1","33","1478","24.12","1535","103.86","1535","100","1535","100","1442","93.94","93","6.06","35","37.63","1442","93.94","93","6.06","35","37.63"
"All","2008","11587","5910","5677","(31, 60)","47","(42, 52)","PCV-D1","12","4","33","10","83","2","50","4028","34.76","2295","56.98","2295","100","2295","100","1918","83.57","377","16.43","228","60.48","1918","83.57","377","16.43","228","60.48"
"All","2009","21450","10819","10631","(19, 60)","45","(34, 54)","PCV-D1","17","7","41","11","65","4","57","9173","42.76","3340","36.41","3340","100","2838","84.97","2343","70.15","997","29.85","661","66.3","2099","73.96","739","26.04","468","63.33"
"All","2010","31431","15927","15504","(7, 61)","41","(25, 50)","PCV-D1","21","11","52","11","52","4","36","17904","56.96","6290","35.13","5714","90.84","3279","52.13","3470","60.73","2244","39.27","1647","73.4","2711","82.68","568","17.32","219","38.56"
"All","2011","41575","21153","20422","(0, 61)","34","(19, 49)","PCV-D1","28","14","50","13","46","4","29","27683","66.59","6382","23.05","3837","60.12","3529","55.3","2922","76.15","915","23.85","524","57.27","2912","82.52","617","17.48","253","41"
"All","2012","44962","22560","22402","(0, 61)","33","(18, 47)","PCV-D1","33","17","52","13","39","7","41","33184","73.8","4914","14.81","4549","92.57","4154","84.53","1927","42.36","2622","57.64","1949","74.33","1874","45.11","2280","54.89","1654","72.54"
"All","2013","54156","27325","26831","(0, 61)","32","(14, 49)","PCV-D1","33","20","61","10","30","9","45","41363","76.38","13403","32.4","13016","97.11","9143","68.22","2326","17.87","10690","82.13","7420","69.41","1892","20.69","7251","79.31","4414","60.87"
"All","2014","62297","31811","30486","(0, 61)","38","(19, 51)","PCV-D1","38","25","66","8","21","12","48","48977","78.62","18807","38.4","14528","77.25","4898","26.04","2215","15.25","12313","84.75","8318","67.55","619","12.64","4279","87.36","2350","54.92"
"All","2015","86955","44131","42824","(0, 61)","43","(25, 52)","PCV-D1","33","23","70","6","18","16","70","48744","56.06","23208","47.61","13090","56.4","7975","34.36","1870","14.29","11220","85.71","7352","65.53","1427","17.89","6548","82.11","3862","58.98"
"All","2016","91688","47174","44514","(0, 61)","38","(23, 46)","PCV-D1","34","25","74","6","18","21","84","41461","45.22","24933","60.14","19565","78.47","11176","44.82","4318","22.07","15244","77.91","9405","61.7","2957","26.46","8216","73.51","4459","54.27"
"All","2017","95255","48702","46553","(0, 61)","29","(18, 42)","PCV-D1","29","22","76","5","17","16","73","47948","50.34","28180","58.77","18832","66.83","7384","26.2","3326","17.66","15000","79.65","9823","65.49","449","6.08","6429","87.07","4044","62.9"
"All","2018","82221","42015","40206","(0, 55)","20","(13, 33)","PCV-D1","24","21","88","2","8","19","90","38467","46.78","23136","60.15","11018","47.62","4028","17.41","953","8.65","9202","83.52","6472","70.33","555","13.78","2610","64.8","1578","60.46"
"All","2019","63352","32618","30734","(-1, 43)","12","(5, 24)","PCV-D1","16","15","94","2","12","14","93","25169","39.73","20877","82.95","13188","63.17","9789","46.89","1860","14.1","10137","76.87","7068","69.72","1315","13.43","7283","74.4","5044","69.26"
"All","2020","33035","16953","16082","(-1, 31)","11","(6, 17)","PCV-D1","13","12","92","2","15","11","92","17582","53.22","15416","87.68","11666","75.67","2491","16.16","1574","13.49","9430","80.83","7288","77.29","234","9.39","1595","64.03","1035","64.89"
"All","2021","15322","7750","7572","(0, 19)","6","(2, 9)","PCV-D1","10","9","90","2","20","8","89","13772","89.88","11989","87.05","2197","18.33","415","3.46","201","9.15","1581","71.96","1223","77.36","0","0","0","0","0","NaN"
"All","2022","1791","924","867","(0, 6)","2","(1, 3)","PCV-D1","2","2","100","0","0","2","100","1791","100","1786","99.72","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"All","2006","489","254","235","(55, 61)","59","(58, 60)","PCV-D2","3","0","0","3","100","1","Inf","0","0","101","Inf","101","100","101","100","97","96.04","4","3.96","0","0","97","96.04","4","3.96","0","0"
"All","2007","6128","3167","2961","(43, 60)","55","(52, 58)","PCV-D2","7","3","43","6","86","1","33","1478","24.12","1526","103.25","1526","100","1526","100","1510","98.95","16","1.05","6","37.5","1510","98.95","16","1.05","6","37.5"
"All","2008","11587","5910","5677","(31, 60)","47","(42, 52)","PCV-D2","12","4","33","10","83","2","50","4028","34.76","2290","56.85","2290","100","2290","100","2063","90.09","227","9.91","163","71.81","2063","90.09","227","9.91","163","71.81"
"All","2009","21450","10819","10631","(19, 60)","45","(34, 54)","PCV-D2","17","7","41","11","65","4","57","9173","42.76","3324","36.24","3324","100","2804","84.36","2536","76.29","788","23.71","657","83.38","2255","80.42","549","19.58","476","86.7"
"All","2010","31431","15927","15504","(7, 61)","41","(25, 50)","PCV-D2","21","11","52","11","52","4","36","17904","56.96","6275","35.05","5687","90.63","3278","52.24","4254","74.8","1433","25.2","1240","86.53","2834","86.46","444","13.54","420","94.59"
"All","2011","41575","21153","20422","(0, 61)","34","(19, 49)","PCV-D2","28","14","50","13","46","4","29","27683","66.59","6374","23.02","3832","60.12","3524","55.29","3024","78.91","808","21.09","1389","171.91","2998","85.07","526","14.93","910","173"
"All","2012","44962","22560","22402","(0, 61)","33","(18, 47)","PCV-D2","33","17","52","13","39","7","41","33184","73.8","4911","14.8","4546","92.57","4151","84.52","2232","49.1","2314","50.9","2628","113.57","2171","52.3","1980","47.7","1461","73.79"
"All","2013","54156","27325","26831","(0, 61)","32","(14, 49)","PCV-D2","33","20","61","10","30","9","45","41363","76.38","13403","32.4","13016","97.11","9047","67.5","3151","24.21","9865","75.79","7156","72.54","2483","27.45","6564","72.55","4261","64.91"
"All","2014","62297","31811","30486","(0, 61)","38","(19, 51)","PCV-D2","38","25","66","8","21","12","48","48977","78.62","18806","38.4","14438","76.77","4795","25.5","3102","21.48","11336","78.52","7934","69.99","882","18.39","3913","81.61","2203","56.3"
"All","2015","86955","44131","42824","(0, 61)","43","(25, 52)","PCV-D2","33","23","70","6","18","16","70","48744","56.06","23190","47.58","12930","55.76","7907","34.1","2374","18.36","10556","81.64","7077","67.04","1753","22.17","6154","77.83","3728","60.58"
"All","2016","91688","47174","44514","(0, 61)","38","(23, 46)","PCV-D2","34","25","74","6","18","21","84","41461","45.22","24852","59.94","19442","78.23","10917","43.93","5295","27.23","14144","72.75","9076","64.17","3498","32.04","7416","67.93","4245","57.24"
"All","2017","95255","48702","46553","(0, 61)","29","(18, 42)","PCV-D2","29","22","76","5","17","16","73","47948","50.34","28126","58.66","18562","66","7317","26.02","4213","22.7","13843","74.58","9469","68.4","806","11.02","6005","82.07","3966","66.04"
"All","2018","82221","42015","40206","(0, 55)","20","(13, 33)","PCV-D2","24","21","88","2","8","19","90","38467","46.78","23118","60.1","10957","47.4","3984","17.23","1424","13","8670","79.13","6320","72.9","694","17.42","2427","60.92","1522","62.71"
"All","2019","63352","32618","30734","(-1, 43)","12","(5, 24)","PCV-D2","16","15","94","2","12","14","93","25169","39.73","20861","82.88","13134","62.96","9670","46.35","2317","17.64","9626","73.29","6856","71.22","1624","16.79","6855","70.89","4844","70.66"
"All","2020","33035","16953","16082","(-1, 31)","11","(6, 17)","PCV-D2","13","12","92","2","15","11","92","17582","53.22","15416","87.68","11533","74.81","2437","15.81","1886","16.35","8985","77.91","7019","78.12","255","10.46","1520","62.37","1002","65.92"
"All","2021","15322","7750","7572","(0, 19)","6","(2, 9)","PCV-D2","10","9","90","2","20","8","89","13772","89.88","11989","87.05","2138","17.83","415","3.46","235","10.99","1488","69.6","1155","77.62","0","0","0","0","0","NaN"
"All","2022","1791","924","867","(0, 6)","2","(1, 3)","PCV-D2","2","2","100","0","0","2","100","1791","100","1786","99.72","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"All","2006","489","254","235","(55, 61)","59","(58, 60)","PCV-D3","3","0","0","3","100","1","Inf","0","0","101","Inf","101","100","101","100","99","98.02","2","1.98","0","0","99","98.02","2","1.98","0","0"
"All","2007","6128","3167","2961","(43, 60)","55","(52, 58)","PCV-D3","7","3","43","6","86","1","33","1478","24.12","1526","103.25","1526","100","1526","100","1514","99.21","12","0.79","5","41.67","1514","99.21","12","0.79","5","41.67"
"All","2008","11587","5910","5677","(31, 60)","47","(42, 52)","PCV-D3","12","4","33","10","83","3","75","4028","34.76","2312","57.4","2312","100","2312","100","2108","91.18","204","8.82","152","74.51","2108","91.18","204","8.82","152","74.51"
"All","2009","21450","10819","10631","(19, 60)","45","(34, 54)","PCV-D3","17","7","41","11","65","4","57","9173","42.76","3457","37.69","3457","100","2927","84.67","2637","76.28","820","23.72","590","71.95","2318","79.19","609","20.81","417","68.47"
"All","2010","31431","15927","15504","(7, 61)","41","(25, 50)","PCV-D3","21","11","52","11","52","4","36","17904","56.96","4628","25.85","4029","87.06","1631","35.24","2576","63.94","1453","36.06","1110","76.39","1020","62.54","611","37.46","356","58.27"
"All","2011","41575","21153","20422","(0, 61)","34","(19, 49)","PCV-D3","28","14","50","13","46","4","29","27683","66.59","4888","17.66","2347","48.02","1818","37.19","870","37.07","1477","62.93","1233","83.48","817","44.94","1001","55.06","780","77.92"
"All","2012","44962","22560","22402","(0, 61)","33","(18, 47)","PCV-D3","33","17","52","13","39","7","41","33184","73.8","3650","11","2968","81.32","1835","50.27","661","22.27","2307","77.73","1899","82.31","599","32.64","1236","67.36","929","75.16"
"All","2013","54156","27325","26831","(0, 61)","32","(14, 49)","PCV-D3","33","20","61","10","30","9","45","41363","76.38","11487","27.77","10748","93.57","8708","75.81","3412","31.75","7336","68.25","5228","71.26","2948","33.85","5760","66.15","3881","67.38"
"All","2014","62297","31811","30486","(0, 61)","38","(19, 51)","PCV-D3","38","25","66","8","21","11","44","48977","78.62","16399","33.48","14094","85.94","4655","28.39","3903","27.69","10191","72.31","7319","71.82","1152","24.75","3503","75.25","2002","57.15"
"All","2015","86955","44131","42824","(0, 61)","43","(25, 52)","PCV-D3","33","23","70","6","18","15","65","48744","56.06","22858","46.89","12799","55.99","7861","34.39","2973","23.23","9826","76.77","6693","68.12","2120","26.97","5741","73.03","3537","61.61"
"All","2016","91688","47174","44514","(0, 61)","38","(23, 46)","PCV-D3","34","25","74","6","18","21","84","41461","45.22","24852","59.94","19393","78.03","10678","42.97","6388","32.94","13002","67.04","8656","66.57","4093","38.33","6582","61.64","3942","59.89"
"All","2017","95255","48702","46553","(0, 61)","29","(18, 42)","PCV-D3","29","22","76","5","17","16","73","47948","50.34","28126","58.66","18300","65.06","7251","25.78","5177","28.29","12617","68.95","8946","70.9","1209","16.67","5536","76.35","3810","68.82"
"All","2018","82221","42015","40206","(0, 55)","20","(13, 33)","PCV-D3","24","21","88","2","8","19","90","38467","46.78","23118","60.1","10900","47.15","3939","17.04","1937","17.77","8100","74.31","6083","75.1","843","21.4","2233","56.69","1445","64.71"
"All","2019","63352","32618","30734","(-1, 43)","12","(5, 24)","PCV-D3","16","15","94","2","12","14","93","25169","39.73","20861","82.88","13095","62.77","9482","45.45","2907","22.2","8997","68.71","6583","73.17","2006","21.16","6285","66.28","4557","72.51"
"All","2020","33035","16953","16082","(-1, 31)","11","(6, 17)","PCV-D3","13","12","92","2","15","11","92","17582","53.22","15416","87.68","11308","73.35","2382","15.45","2428","21.47","8218","72.67","6549","79.69","339","14.23","1381","57.98","930","67.34"
"All","2021","15322","7750","7572","(0, 19)","6","(2, 9)","PCV-D3","10","9","90","2","20","8","89","13772","89.88","11989","87.05","2078","17.33","415","3.46","291","14","1372","66.03","1083","78.94","0","0","0","0","0","NaN"
"All","2022","1791","924","867","(0, 6)","2","(1, 3)","PCV-D3","2","2","100","0","0","2","100","1791","100","1786","99.72","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"All","2006","489","254","235","(55, 61)","59","(58, 60)","RV-D1","3","1","33","2","67","1","100","101","20.65","100","99.01","100","100","100","100","89","89","11","11","0","0","89","89","11","11","0","0"
"All","2007","6128","3167","2961","(43, 60)","55","(52, 58)","RV-D1","7","3","43","5","71","2","67","2327","37.97","2241","96.3","2241","100","2241","100","2069","92.32","172","7.68","45","26.16","2069","92.32","172","7.68","45","26.16"
"All","2008","11587","5910","5677","(31, 60)","47","(42, 52)","RV-D1","12","5","42","8","67","4","80","5255","45.35","4627","88.05","4627","100","4627","100","3370","72.83","1257","27.17","865","68.81","3370","72.83","1257","27.17","865","68.81"
"All","2009","21450","10819","10631","(19, 60)","45","(34, 54)","RV-D1","17","7","41","9","53","6","86","10284","47.94","6146","59.76","6146","100","5643","91.82","2067","33.63","4079","66.37","3329","81.61","1954","34.63","3689","65.37","3016","81.76"
"All","2010","31431","15927","15504","(7, 61)","41","(25, 50)","RV-D1","21","11","52","9","43","6","55","18996","60.44","9123","48.03","8547","93.69","5171","56.68","2646","30.96","5901","69.04","4898","83","1964","37.98","3207","62.02","2478","77.27"
"All","2011","41575","21153","20422","(0, 61)","34","(19, 49)","RV-D1","28","14","50","12","43","6","43","27645","66.49","9102","32.92","5659","62.17","4025","44.22","1528","27","4131","73","3387","81.99","1202","29.86","2823","70.14","2213","78.39"
"All","2012","44962","22560","22402","(0, 61)","33","(18, 47)","RV-D1","33","16","48","13","39","9","56","31486","70.03","6849","21.75","5041","73.6","4144","60.51","1017","20.17","4024","79.83","3243","80.59","816","19.69","3328","80.31","2694","80.95"
"All","2013","54156","27325","26831","(0, 61)","32","(14, 49)","RV-D1","33","17","52","11","33","11","65","37074","68.46","13954","37.64","13006","93.21","9136","65.47","3881","29.84","9125","70.16","6107","66.93","3318","36.32","5818","63.68","3247","55.81"
"All","2014","62297","31811","30486","(0, 61)","38","(19, 51)","RV-D1","38","21","55","11","29","12","57","39493","63.39","20170","51.07","15895","78.81","6270","31.09","5423","34.12","10133","63.75","6770","66.81","2622","41.82","3309","52.78","1801","54.43"
"All","2015","86955","44131","42824","(0, 61)","43","(25, 52)","RV-D1","33","21","64","8","24","14","67","48811","56.13","20708","42.42","10597","51.17","4474","21.61","2839","26.79","6531","61.63","4619","70.72","484","10.82","2763","61.76","1838","66.52"
"All","2016","91688","47174","44514","(0, 61)","38","(23, 46)","RV-D1","34","22","65","8","24","20","91","56667","61.8","22122","39.04","15662","70.8","12262","55.43","6054","38.65","8385","53.54","5501","65.61","5613","45.78","5426","44.25","3251","59.92"
"All","2017","95255","48702","46553","(0, 61)","29","(18, 42)","RV-D1","29","19","66","5","17","15","79","61090","64.13","46341","75.86","42524","91.76","31034","66.97","22526","52.97","18715","44.01","12749","68.12","16937","54.58","12814","41.29","8451","65.95"
"All","2018","82221","42015","40206","(0, 55)","20","(13, 33)","RV-D1","24","16","67","5","21","15","94","54102","65.8","58570","108.26","46210","78.9","17197","29.36","20812","45.04","24498","53.01","18854","76.96","5675","33","10622","61.77","8153","76.76"
"All","2019","63352","32618","30734","(-1, 43)","12","(5, 24)","RV-D1","16","13","81","3","19","13","100","47383","74.79","56243","118.7","25542","45.41","9110","16.2","5478","21.45","18848","73.79","15057","79.89","1570","17.23","6324","69.42","4432","70.08"
"All","2020","33035","16953","16082","(-1, 31)","11","(6, 17)","RV-D1","13","10","77","2","15","10","100","30997","93.83","27524","88.8","10262","37.28","1909","6.94","1558","15.18","8036","78.31","6246","77.73","128","6.71","1113","58.3","704","63.25"
"All","2021","15322","7750","7572","(0, 19)","6","(2, 9)","RV-D1","10","7","70","2","20","7","100","13611","88.83","10601","77.89","1650","15.56","416","3.92","98","5.94","1136","68.85","862","75.88","0","0","0","0","0","NaN"
"All","2022","1791","924","867","(0, 6)","2","(1, 3)","RV-D1","2","2","100","1","50","1","50","1791","100","1225","68.4","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"All","2006","489","254","235","(55, 61)","59","(58, 60)","RV-D2","3","1","33","2","67","1","100","101","20.65","100","99.01","100","100","100","100","93","93","7","7","0","0","93","93","7","7","0","0"
"All","2007","6128","3167","2961","(43, 60)","55","(52, 58)","RV-D2","7","3","43","5","71","2","67","2327","37.97","2225","95.62","2225","100","2225","100","2122","95.37","103","4.63","36","34.95","2122","95.37","103","4.63","36","34.95"
"All","2008","11587","5910","5677","(31, 60)","47","(42, 52)","RV-D2","12","5","42","8","67","4","80","5255","45.35","4592","87.38","4592","100","4592","100","3772","82.14","820","17.86","603","73.54","3772","82.14","820","17.86","603","73.54"
"All","2009","21450","10819","10631","(19, 60)","45","(34, 54)","RV-D2","17","7","41","9","53","6","86","10284","47.94","6073","59.05","6073","100","5555","91.47","2977","49.02","3096","50.98","2633","85.05","2813","50.64","2742","49.36","2346","85.56"
"All","2010","31431","15927","15504","(7, 61)","41","(25, 50)","RV-D2","21","11","52","9","43","6","55","18996","60.44","9074","47.77","8485","93.51","5134","56.58","3635","42.84","4850","57.16","4143","85.42","2729","53.16","2405","46.84","1908","79.33"
"All","2011","41575","21153","20422","(0, 61)","34","(19, 49)","RV-D2","28","14","50","12","43","6","43","27645","66.49","9050","32.74","5613","62.02","4007","44.28","2324","41.4","3289","58.6","2744","83.43","1695","42.3","2312","57.7","1830","79.15"
"All","2012","44962","22560","22402","(0, 61)","33","(18, 47)","RV-D2","33","16","48","13","39","9","56","31486","70.03","6827","21.68","5026","73.62","4142","60.67","1477","29.39","3549","70.61","2920","82.28","1043","25.18","3099","74.82","2553","82.38"
"All","2013","54156","27325","26831","(0, 61)","32","(14, 49)","RV-D2","33","17","52","11","33","11","65","37074","68.46","13950","37.63","13005","93.23","9038","64.79","4615","35.49","8390","64.51","5861","69.86","3809","42.14","5229","57.86","3112","59.51"
"All","2014","62297","31811","30486","(0, 61)","38","(19, 51)","RV-D2","38","21","55","11","29","12","57","39493","63.39","20168","51.07","15805","78.37","6160","30.54","6296","39.84","9171","58.03","6344","69.17","2891","46.93","2931","47.58","1645","56.12"
"All","2015","86955","44131","42824","(0, 61)","43","(25, 52)","RV-D2","33","21","64","8","24","14","67","48811","56.13","20707","42.42","10452","50.48","4427","21.38","3192","30.54","6034","57.73","4375","72.51","626","14.14","2575","58.17","1757","68.23"
"All","2016","91688","47174","44514","(0, 61)","38","(23, 46)","RV-D2","34","22","65","8","24","20","91","56667","61.8","22117","39.03","15605","70.56","12201","55.17","6628","42.47","7759","49.72","5237","67.5","6042","49.52","4941","40.5","3066","62.05"
"All","2017","95255","48702","46553","(0, 61)","29","(18, 42)","RV-D2","29","19","66","5","17","15","79","61090","64.13","46333","75.84","42441","91.6","30713","66.29","23953","56.44","17213","40.56","12102","70.31","17714","57.68","11724","38.17","7984","68.1"
"All","2018","82221","42015","40206","(0, 55)","20","(13, 33)","RV-D2","24","16","67","5","21","15","94","54102","65.8","58570","108.26","45898","78.36","17038","29.09","22084","48.12","22914","49.92","17999","78.55","6118","35.91","10020","58.81","7813","77.97"
"All","2019","63352","32618","30734","(-1, 43)","12","(5, 24)","RV-D2","16","13","81","3","19","13","100","47383","74.79","56243","118.7","25314","45.01","8916","15.85","6200","24.49","17898","70.7","14475","80.87","1802","20.21","5898","66.15","4208","71.35"
"All","2020","33035","16953","16082","(-1, 31)","11","(6, 17)","RV-D2","13","10","77","2","15","10","100","30997","93.83","27524","88.8","10040","36.48","1869","6.79","1866","18.59","7506","74.76","5897","78.56","145","7.76","1056","56.5","676","64.02"
"All","2021","15322","7750","7572","(0, 19)","6","(2, 9)","RV-D2","10","7","70","2","20","7","100","13611","88.83","10601","77.89","1609","15.18","416","3.92","137","8.51","1056","65.63","810","76.7","0","0","0","0","0","NaN"
"All","2022","1791","924","867","(0, 6)","2","(1, 3)","RV-D2","2","2","100","1","50","1","50","1791","100","1225","68.4","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"All","2006","489","254","235","(55, 61)","59","(58, 60)","RV-D3","3","1","33","2","67","0","0","101","20.65","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"All","2007","6128","3167","2961","(43, 60)","55","(52, 58)","RV-D3","7","3","43","5","71","0","0","2327","37.97","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
