"country","birth_cohort","total_survey_children","total_male","total_female","age_range","median_age","age_iqr","vaccine","total_countries","no_countries_intro","prop_countries_intro","no_countries_notvax","prop_countries_notvax","coun_w_data","prop_coun_w_data","total_children_intro","prop_children_intro","total_w_data","prop_w_data","total_1ye_buff_intro","prop_1ye_buff_intro","total_2ye_buff_intro","prop_2ye_buff_intro","total_unvax1","prop_unvax1","total_vax1","prop_vax1","total_vax_date_data1","prop_vax_date1","total_unvax2","prop_unvax2","total_vax2","prop_vax2","total_vax_date_data2","prop_vax_date2"
"All","2015","86955","44131","42824","(0, 61)","43","(25, 52)","OPV-D1","33","33","100","0","0","25","76","86955","100","35191","40.47","23818","67.68","14741","41.89","2678","11.24","19551","82.08","12350","63.17","1638","11.11","11514","78.11","6620","57.5"
"All","2016","91688","47174","44514","(0, 61)","38","(23, 46)","OPV-D1","34","34","100","0","0","30","88","91688","100","42049","45.86","32580","77.48","18856","44.84","4938","15.16","26400","81.03","17099","64.77","3164","16.78","14450","76.63","8886","61.49"
"All","2017","95255","48702","46553","(0, 61)","29","(18, 42)","OPV-D1","29","29","100","0","0","23","79","95255","100","64682","67.9","49643","76.75","31479","48.67","6010","12.11","42830","86.28","32534","75.96","3010","9.56","27666","87.89","21748","78.61"
"All","2018","82221","42015","40206","(0, 55)","20","(13, 33)","OPV-D1","24","24","100","0","0","22","92","82221","100","66262","80.59","46952","70.86","16977","25.62","4481","9.54","42432","90.37","35303","83.2","1870","11.01","15068","88.76","12441","82.57"
"All","2019","63352","32618","30734","(-1, 43)","12","(5, 24)","OPV-D1","16","16","100","0","0","15","94","63352","100","59159","93.38","27681","46.79","10637","17.98","3048","11.01","24606","88.89","20082","81.61","1322","12.43","9288","87.32","6762","72.8"
"All","2020","33035","16953","16082","(-1, 31)","11","(6, 17)","OPV-D1","13","13","100","0","0","12","92","33035","100","30948","93.68","13047","42.16","1841","5.95","1559","11.95","11481","88","9135","79.57","234","12.71","1600","86.91","1042","65.12"
"All","2021","15322","7750","7572","(0, 19)","6","(2, 9)","OPV-D1","10","10","100","0","0","9","90","15322","100","13594","88.72","1788","13.15","0","0","194","10.85","1594","89.15","1235","77.48","0","NaN","0","NaN","0","NaN"
"All","2022","1791","924","867","(0, 6)","2","(1, 3)","OPV-D1","2","2","100","0","0","2","100","1791","100","1788","99.83","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN"
"All","2006","489","254","235","(55, 61)","59","(58, 60)","OPV-D2","3","3","100","0","0","2","67","489","100","213","43.56","213","100","213","100","25","11.74","87","40.85","29","33.33","25","11.74","87","40.85","29","33.33"
"All","2007","6128","3167","2961","(43, 60)","55","(52, 58)","OPV-D2","7","7","100","0","0","6","86","6128","100","4843","79.03","4843","100","4843","100","473","9.77","2815","58.13","1231","43.73","473","9.77","2815","58.13","1231","43.73"
"All","2008","11587","5910","5677","(31, 60)","47","(42, 52)","OPV-D2","12","12","100","0","0","12","100","11587","100","10489","90.52","10489","100","10489","100","1212","11.55","6933","66.1","3742","53.97","1212","11.55","6933","66.1","3742","53.97"
"All","2009","21450","10819","10631","(19, 60)","45","(34, 54)","OPV-D2","17","17","100","0","0","17","100","21450","100","20761","96.79","20761","100","20156","97.09","3168","15.26","14592","70.29","6801","46.61","3016","14.96","14139","70.15","6524","46.14"
"All","2010","31431","15927","15504","(7, 61)","41","(25, 50)","OPV-D2","21","21","100","0","0","17","81","31431","100","29738","94.61","29036","97.64","23811","80.07","4310","14.84","19585","67.45","9355","47.77","3476","14.6","15194","63.81","6298","41.45"
