"Vaccine","Characteristic","Levels","Date Available (n)","Date Not Available (n)","Date Available (%)","Date Not Availanle (%)","Chi2","Flag 5%","Flag 10%","Flag 20%"
"","","Prof/Manager/Clerical/Sales","36083","20182","21.92","25.7","","","",""
"","","Agricultural","54165","26250","32.91","33.42","","","",""
"","","Household/Services","23605","9271","14.34","11.8","","","",""
"","","Manual work","44192","19880","26.85","25.31","","","",""
"DTP-D3","Sex at birth","Male","126608","43388","51.24","50.89","0.083476547728966","","",""
"","","Female","120503","41869","48.76","49.11","","","",""
"DTP-D3","Health Card","No card","22","6727","0.01","7.89","0","*","",""
"","","Yes - Seen","246650","15127","99.81","17.75","","*","**","***"
"","","Yes - Not Seen","33","40394","0.01","47.4","","*","**","***"
"","","Lost","31","22848","0.01","26.81","","*","**","***"
"","","Other","375","126","0.15","0.15","","","",""
"DTP-D3","Urban/Rural","Urban","76722","29237","31.05","34.29","8.7079360672478e-69","","",""
"","","Rural","170389","56020","68.95","65.71","","","",""
"DTP-D3","Residence","City","781","127","16.11","22.24","0.00039854725469777","*","",""
"","","Town","1383","166","28.53","29.07","","","",""
"","","Countryside","2683","278","55.35","48.69","","*","",""
"DTP-D3","Wealth Quintile","Poorest","58021","20074","23.48","23.55","1.45891656142534e-42","","",""
"","","Poor","53990","17504","21.85","20.53","","","",""
"","","Middle","50064","16503","20.26","19.36","","","",""
"","","Rich","45454","16017","18.39","18.79","","","",""
"","","Richest","39582","15159","16.02","17.78","","","",""
"DTP-D3","Mother's Education","None","51304","19888","21.12","24.33","2.18488476463009e-96","","",""
"","","Primary","62622","21123","25.77","25.84","","","",""
"","","Secondary","101716","31561","41.86","38.61","","","",""
"","","Higher","27323","9168","11.25","11.22","","","",""
"DTP-D3","Mother's Marital Status","Not married","9461","3220","3.83","3.78","1.801339596994e-126","","",""
"","","Married/Living together","227782","76943","92.18","90.25","","","",""
"","","Widowed/Divorced/Not living together","9868","5094","3.99","5.97","","","",""
"DTP-D3","Husband's Education","None","31656","13103","20.73","21.12","6.44182717608943e-191","","",""
"","","Primary","44610","14381","29.21","23.18","","*","",""
"","","Secondary","58917","26172","38.57","42.18","","","",""
"","","Higher","17560","8391","11.5","13.52","","","",""
"DTP-D3","Husband's Occupation","No work","5892","2461","3.92","3.81","3.17564888818066e-113","","",""
"","","Prof/Manager/Clerical/Sales","33052","16899","21.97","26.16","","","",""
"","","Agricultural","49315","20514","32.78","31.76","","","",""
"","","Household/Services","21701","7899","14.42","12.23","","","",""
"","","Manual work","40493","16817","26.91","26.04","","","",""
"OPV-BD","Sex at birth","Male","115390","44455","51.09","50.93","0.428060256108385","","",""
"","","Female","110458","42826","48.91","49.07","","","",""
"OPV-BD","Health Card","No card","0","7633","0","8.75","0","*","",""
"","","Yes - Seen","225713","18788","99.94","21.53","","*","**","***"
"","","Yes - Not Seen","21","35930","0.01","41.18","","*","**","***"
"","","Lost","5","24602","0","28.2","","*","**","***"
"","","Other","109","298","0.05","0.34","","","",""
"OPV-BD","Urban/Rural","Urban","68530","31556","30.34","36.15","1.57034252564466e-214","*","",""
"","","Rural","157318","55725","69.66","63.85","","*","",""
"OPV-BD","Residence","City","41","67","9.3","19.09","0.000345491324589606","*","",""
"","","Town","135","94","30.61","26.78","","","",""
"","","Countryside","265","190","60.09","54.13","","*","",""
"OPV-BD","Wealth Quintile","Poorest","48948","19437","21.67","22.27","2.02528710539448e-32","","",""
"","","Poor","48218","17722","21.35","20.3","","","",""
"","","Middle","46319","17076","20.51","19.56","","","",""
"","","Rich","43279","16604","19.16","19.02","","","",""
"","","Richest","39084","16442","17.31","18.84","","","",""
"OPV-BD","Mother's Education","None","53742","21922","24.06","25.88","3.37036633401512e-146","","",""
"","","Primary","48271","20981","21.61","24.77","","","",""
"","","Secondary","96126","33628","43.03","39.71","","","",""
"","","Higher","25252","8160","11.3","9.64","","","",""
"OPV-BD","Mother's Marital Status","Not married","9471","4393","4.19","5.03","8.3737054470296e-246","","",""
"","","Married/Living together","209516","78166","92.77","89.56","","","",""
"","","Widowed/Divorced/Not living together","6861","4722","3.04","5.41","","","",""
"OPV-BD","Husband's Education","None","32186","14112","25.5","23.18","2.16576630353862e-61","","",""
"","","Primary","29729","13251","23.55","21.77","","","",""
"","","Secondary","48648","25602","38.54","42.06","","","",""
"","","Higher","15676","7907","12.42","12.99","","","",""
"OPV-BD","Husband's Occupation","No work","5203","2578","4.04","4.07","3.93659164482212e-146","","",""
"","","Prof/Manager/Clerical/Sales","30050","17492","23.36","27.6","","","",""
"","","Agricultural","41171","19476","32.01","30.73","","","",""
"","","Household/Services","20559","7923","15.98","12.5","","","",""
"","","Manual work","31652","15914","24.61","25.11","","","",""
"OPV-D1","Sex at birth","Male","149576","62058","51.2","50.74","0.00777588013774807","","",""
"","","Female","142577","60238","48.8","49.26","","","",""
"OPV-D1","Health Card","No card","24","22079","0.01","18.07","0","*","**",""
"","","Yes - Seen","291625","13157","99.82","10.77","","*","**","***"
"","","Yes - Not Seen","47","54611","0.02","44.7","","*","**","***"
"","","Lost","29","32069","0.01","26.25","","*","**","***"
