"Vaccine","Characteristic","Levels","Date Available (n)","Date Not Available (n)","Date Available (%)","Date Not Availanle (%)","Chi2","Flag 5%","Flag 10%","Flag 20%"
"","","Manual work","7995","3679","21","19.12","","","",""
"HepB-D1","Sex at birth","Male","112579","33799","51.21","51.12","0.681364154366663","","",""
"","","Female","107247","32317","48.79","48.88","","","",""
"HepB-D1","Health Card","No card","24","6423","0.01","9.71","0","*","",""
"","","Yes - Seen","219296","9645","99.76","14.59","","*","**","***"
"","","Yes - Not Seen","49","23372","0.02","35.35","","*","**","***"
"","","Lost","30","26455","0.01","40.01","","*","**","***"
"","","Other","427","220","0.19","0.33","","","",""
"HepB-D1","Urban/Rural","Urban","63716","22657","28.98","34.27","2.38325293519344e-148","*","",""
"","","Rural","156110","43459","71.02","65.73","","*","",""
"HepB-D1","Residence","City","37","56","9.25","18.06","0.00212555106365386","*","",""
"","","Town","117","88","29.25","28.39","","","",""
"","","Countryside","246","166","61.5","53.55","","*","",""
"HepB-D1","Wealth Quintile","Poorest","52152","16605","23.72","25.11","8.72003152308446e-22","","",""
"","","Poor","48350","13997","21.99","21.17","","","",""
"","","Middle","44744","12916","20.35","19.54","","","",""
"","","Rich","40496","11800","18.42","17.85","","","",""
"","","Richest","34084","10798","15.5","16.33","","","",""
"HepB-D1","Mother's Education","None","48901","16948","22.25","25.63","3.15560661062666e-191","","",""
"","","Primary","51475","17564","23.42","26.57","","","",""
"","","Secondary","93735","24527","42.64","37.1","","*","",""
"","","Higher","25714","7077","11.7","10.7","","","",""
"HepB-D1","Mother's Marital Status","Not married","7836","3119","3.56","4.72","4.76415679690306e-219","","",""
"","","Married/Living together","205269","59440","93.38","89.9","","","",""
"","","Widowed/Divorced/Not living together","6721","3557","3.06","5.38","","","",""
"HepB-D1","Husband's Education","None","27842","10582","22.95","24.16","4.3354278844173e-16","","",""
"","","Primary","32685","11316","26.94","25.84","","","",""
"","","Secondary","45635","15964","37.62","36.45","","","",""
"","","Higher","15153","5931","12.49","13.54","","","",""
"HepB-D1","Husband's Occupation","No work","6554","2863","5.41","6.57","1.37081989666379e-124","","",""
"","","Prof/Manager/Clerical/Sales","26697","11210","22.06","25.71","","","",""
"","","Agricultural","37967","13666","31.37","31.34","","","",""
"","","Household/Services","20096","5544","16.6","12.71","","","",""
"","","Manual work","29729","10320","24.56","23.67","","","",""
"HepB-D2","Sex at birth","Male","104600","29333","51.22","51.13","0.702515467791201","","",""
"","","Female","99628","28041","48.78","48.87","","","",""
"HepB-D2","Health Card","No card","24","4891","0.01","8.52","0","*","",""
"","","Yes - Seen","203736","9657","99.76","16.83","","*","**","***"
"","","Yes - Not Seen","42","20248","0.02","35.29","","*","**","***"
"","","Lost","29","22376","0.01","39","","*","**","***"
"","","Other","397","201","0.19","0.35","","","",""
"HepB-D2","Urban/Rural","Urban","59252","19353","29.01","33.73","3.81601528807148e-105","","",""
"","","Rural","144976","38021","70.99","66.27","","","",""
"HepB-D2","Residence","City","36","30","9.45","16.67","0.0229567403428408","*","",""
"","","Town","114","58","29.92","32.22","","","",""
"","","Countryside","231","92","60.63","51.11","","*","",""
"HepB-D2","Wealth Quintile","Poorest","47849","14306","23.43","24.93","4.26838914066194e-22","","",""
"","","Poor","44726","12016","21.9","20.94","","","",""
"","","Middle","41570","11211","20.35","19.54","","","",""
"","","Rich","37987","10326","18.6","18","","","",""
"","","Richest","32096","9515","15.72","16.58","","","",""
"HepB-D2","Mother's Education","None","44542","14306","21.81","24.93","1.88989045182648e-169","","",""
"","","Primary","47626","15336","23.32","26.73","","","",""
"","","Secondary","87760","21414","42.97","37.32","","*","",""
"","","Higher","24299","6318","11.9","11.01","","","",""
"HepB-D2","Mother's Marital Status","Not married","7181","2497","3.52","4.35","1.88322625217782e-173","","",""
"","","Married/Living together","190730","51778","93.39","90.25","","","",""
"","","Widowed/Divorced/Not living together","6317","3099","3.09","5.4","","","",""
"HepB-D2","Husband's Education","None","25319","8810","22.52","23.44","1.47474935961853e-12","","",""
"","","Primary","30402","9839","27.04","26.18","","","",""
"","","Secondary","42424","13728","37.73","36.52","","","",""
"","","Higher","14291","5211","12.71","13.86","","","",""
"HepB-D2","Husband's Occupation","No work","6062","2456","5.41","6.54","1.00991245028812e-95","","",""
"","","Prof/Manager/Clerical/Sales","24780","9630","22.1","25.64","","","",""
"","","Agricultural","35011","11632","31.22","30.97","","","",""
"","","Household/Services","18660","4929","16.64","13.13","","","",""
"","","Manual work","27625","8906","24.63","23.72","","","",""
"HepB-D3","Sex at birth","Male","95716","24777","51.24","51.13","0.662197086941996","","",""
"","","Female","91086","23685","48.76","48.87","","","",""
"HepB-D3","Health Card","No card","22","3406","0.01","7.03","0","*","",""
"","","Yes - Seen","186341","10035","99.75","20.71","","*","**","***"
"","","Yes - Not Seen","33","16731","0.02","34.52","","*","**","***"
"","","Lost","31","18163","0.02","37.48","","*","**","***"
"","","Other","375","126","0.2","0.26","","","",""
"HepB-D3","Urban/Rural","Urban","54118","16430","28.97","33.9","6.5341919308764e-99","","",""
"","","Rural","132684","32032","71.03","66.1","","","",""
"HepB-D3","Residence","City","33","26","8.99","19.7","0.0041812437173074","*","**",""
"","","Town","107","37","29.16","28.03","","","",""
"","","Countryside","227","69","61.85","52.27","","*","",""
"HepB-D3","Wealth Quintile","Poorest","43160","11723","23.1","24.19","2.67522816157484e-22","","",""
"","","Poor","40786","10006","21.83","20.65","","","",""
"","","Middle","38165","9483","20.43","19.57","","","",""
"","","Rich","34908","8855","18.69","18.27","","","",""
"","","Richest","29783","8395","15.94","17.32","","","",""
"HepB-D3","Mother's Education","None","40000","11636","21.41","24.01","5.01952152237078e-115","","",""
"","","Primary","43330","12741","23.2","26.29","","","",""
"","","Secondary","80896","18430","43.31","38.03","","*","",""
"","","Higher","22575","5655","12.09","11.67","","","",""
"HepB-D3","Mother's Marital Status","Not married","6466","1926","3.46","3.97","1.34613125711586e-125","","",""
"","","Married/Living together","174537","43973","93.43","90.74","","","",""
"","","Widowed/Divorced/Not living together","5799","2563","3.1","5.29","","","",""
"HepB-D3","Husband's Education","None","22664","7120","22.1","22.71","4.05341566597758e-13","","",""
"","","Primary","27737","8148","27.04","25.98","","","",""
"","","Secondary","38896","11569","37.93","36.89","","","",""
"","","Higher","13263","4521","12.93","14.42","","","",""
"HepB-D3","Husband's Occupation","No work","5474","2025","5.35","6.46","5.01735405598196e-80","","",""
"","","Prof/Manager/Clerical/Sales","22681","8135","22.15","25.96","","","",""
"","","Agricultural","31773","9446","31.03","30.15","","","",""
"","","Household/Services","17182","4237","16.78","13.52","","","",""
"","","Manual work","25276","7490","24.69","23.9","","","",""
"Hib-D1","Sex at birth","Male","62259","23873","50.8","50.85","0.870074046072075","","",""
"","","Female","60291","23076","49.2","49.15","","","",""
"Hib-D1","Health Card","No card","24","4392","0.02","9.36","0","*","",""
"","","Yes - Seen","122020","4231","99.57","9.01","","*","**","***"
"","","Yes - Not Seen","49","14534","0.04","30.96","","*","**","***"
"","","Lost","30","23571","0.02","50.21","","*","**","***"
"","","Other","427","220","0.35","0.47","","","",""
"Hib-D1","Urban/Rural","Urban","43213","18598","35.26","39.61","2.96520945467889e-62","","",""
"","","Rural","79337","28351","64.74","60.39","","","",""
"Hib-D1","Residence","City","39","56","9.42","17.72","0.00400366319425548","*","",""
"","","Town","126","91","30.43","28.8","","","",""
"","","Countryside","249","169","60.14","53.48","","*","",""
"Hib-D1","Wealth Quintile","Poorest","28211","11014","23.02","23.46","1.54957726208615e-21","","",""
"","","Poor","26327","9407","21.48","20.04","","","",""
"","","Middle","25266","9336","20.62","19.89","","","",""
"","","Rich","22983","8828","18.75","18.8","","","",""
"","","Richest","19763","8364","16.13","17.82","","","",""
"Hib-D1","Mother's Education","None","31440","12543","25.66","26.72","1.46599889328294e-25","","",""
"","","Primary","39595","14258","32.31","30.37","","","",""
"","","Secondary","41277","15633","33.68","33.3","","","",""
"","","Higher","10237","4515","8.35","9.62","","","",""
"Hib-D1","Mother's Marital Status","Not married","7699","3091","6.28","6.58","6.05880322335994e-71","","",""
"","","Married/Living together","109064","40631","89","86.54","","","",""
"","","Widowed/Divorced/Not living together","5787","3227","4.72","6.87","","","",""
"Hib-D1","Husband's Education","None","25794","9781","24.66","25.29","2.23743583815924e-43","","",""
"","","Primary","30287","9958","28.96","25.75","","","",""
"","","Secondary","36219","13629","34.63","35.24","","","",""
"","","Higher","12278","5306","11.74","13.72","","","",""
"Hib-D1","Husband's Occupation","No work","6573","2865","6.25","7.36","6.36197480565059e-82","","",""
"","","Prof/Manager/Clerical/Sales","24963","10656","23.72","27.36","","","",""
"","","Agricultural","34900","12528","33.17","32.17","","","",""
"","","Household/Services","10596","3984","10.07","10.23","","","",""
"","","Manual work","28191","8909","26.79","22.88","","","",""
"Hib-D2","Sex at birth","Male","57592","20434","50.81","50.91","0.738036929920199","","",""
"","","Female","55763","19707","49.19","49.09","","","",""
"Hib-D2","Health Card","No card","24","3313","0.02","8.25","0","*","",""
"","","Yes - Seen","112863","4196","99.57","10.45","","*","**","***"
"","","Yes - Not Seen","42","12529","0.04","31.21","","*","**","***"
"","","Lost","29","19901","0.03","49.58","","*","**","***"
"","","Other","397","201","0.35","0.5","","","",""
"Hib-D2","Urban/Rural","Urban","40049","15765","35.33","39.27","3.37444925841139e-45","","",""
"","","Rural","73306","24376","64.67","60.73","","","",""
"Hib-D2","Residence","City","37","32","9.46","17.2","0.0112974523711623","*","",""
"","","Town","118","61","30.18","32.8","","","",""
"","","Countryside","236","93","60.36","50","","*","**",""
"Hib-D2","Wealth Quintile","Poorest","25803","9313","22.76","23.2","5.86130793436146e-22","","",""
"","","Poor","24166","7932","21.32","19.76","","","",""
"","","Middle","23322","7951","20.57","19.81","","","",""
"","","Rich","21484","7622","18.95","18.99","","","",""
"","","Richest","18580","7323","16.39","18.24","","","",""
"Hib-D2","Mother's Education","None","28467","10312","25.11","25.69","2.81976187538698e-20","","",""
"","","Primary","36584","12452","32.27","31.02","","","",""
"","","Secondary","38602","13357","34.05","33.28","","","",""
"","","Higher","9701","4020","8.56","10.01","","","",""
"Hib-D2","Mother's Marital Status","Not married","7058","2475","6.23","6.17","1.50568511110619e-61","","",""
"","","Married/Living together","100856","34860","88.97","86.84","","","",""
"","","Widowed/Divorced/Not living together","5441","2806","4.8","6.99","","","",""
"Hib-D2","Husband's Education","None","23459","8117","24.23","24.45","9.01155005359856e-34","","",""
"","","Primary","28181","8735","29.11","26.31","","","",""
"","","Secondary","33591","11680","34.7","35.18","","","",""
"","","Higher","11585","4667","11.97","14.06","","","",""
"Hib-D2","Husband's Occupation","No work","6075","2457","6.24","7.34","4.59865499076913e-70","","",""
"","","Prof/Manager/Clerical/Sales","23150","9145","23.77","27.33","","","",""
"","","Agricultural","32144","10665","33","31.87","","","",""
"","","Household/Services","9823","3479","10.08","10.4","","","",""
"","","Manual work","26217","7717","26.91","23.06","","","",""
"Hib-D3","Sex at birth","Male","52431","16874","50.83","50.85","0.952398647631698","","",""
"","","Female","50727","16312","49.17","49.15","","","",""
"Hib-D3","Health Card","No card","22","2215","0.02","6.67","0","*","",""
"","","Yes - Seen","102697","4439","99.55","13.38","","*","**","***"
"","","Yes - Not Seen","33","10351","0.03","31.19","","*","**","***"
"","","Lost","31","16054","0.03","48.38","","*","**","***"
"","","Other","375","126","0.36","0.38","","","",""
"Hib-D3","Urban/Rural","Urban","36460","13234","35.34","39.88","2.35278494283475e-50","","",""
"","","Rural","66698","19952","64.66","60.12","","","",""
"Hib-D3","Residence","City","32","25","8.77","17.99","0.00898826377067151","*","",""
"","","Town","109","43","29.86","30.94","","","",""
"","","Countryside","224","71","61.37","51.08","","*","**",""
"Hib-D3","Wealth Quintile","Poorest","23176","7414","22.47","22.34","5.58049639849819e-30","","",""
"","","Poor","21837","6432","21.17","19.38","","","",""
"","","Middle","21267","6555","20.62","19.75","","","",""
"","","Rich","19639","6391","19.04","19.26","","","",""
"","","Richest","17239","6394","16.71","19.27","","","",""
"Hib-D3","Mother's Education","None","25324","8162","24.55","24.59","2.40948000009106e-26","","",""
"","","Primary","33268","10296","32.25","31.03","","","",""
"","","Secondary","35498","11155","34.41","33.61","","","",""
"","","Higher","9067","3573","8.79","10.77","","","",""
"Hib-D3","Mother's Marital Status","Not married","6350","1910","6.16","5.76","2.15307030010428e-51","","",""
"","","Married/Living together","91829","28959","89.02","87.26","","","",""
"","","Widowed/Divorced/Not living together","4979","2317","4.83","6.98","","","",""
"Hib-D3","Husband's Education","None","20966","6542","23.75","23.65","1.36105458222287e-35","","",""
"","","Primary","25766","7265","29.19","26.27","","","",""
"","","Secondary","30770","9799","34.86","35.43","","","",""
"","","Higher","10763","4054","12.19","14.66","","","",""
"Hib-D3","Husband's Occupation","No work","5483","2029","6.18","7.28","1.00683175666085e-63","","",""
"","","Prof/Manager/Clerical/Sales","21167","7721","23.84","27.7","","","",""
"","","Agricultural","29155","8646","32.84","31.02","","","",""
"","","Household/Services","8971","2947","10.1","10.57","","","",""
"","","Manual work","24014","6530","27.05","23.43","","","",""
"PCV-D1","Sex at birth","Male","55669","20293","50.9","50.64","0.371693343196744","","",""
"","","Female","53703","19783","49.1","49.36","","","",""
"PCV-D1","Health Card","No card","22","3065","0.02","7.65","0","*","",""
"","","Yes - Seen","108897","5116","99.57","12.77","","*","**","***"
"","","Yes - Not Seen","37","11153","0.03","27.83","","*","**","***"
"","","Lost","30","20514","0.03","51.19","","*","**","***"
"","","Other","386","227","0.35","0.57","","","",""
"PCV-D1","Urban/Rural","Urban","36194","15624","33.09","38.99","9.45159545909007e-100","*","",""
"","","Rural","73178","24452","66.91","61.01","","*","",""
"PCV-D1","Residence","City","38","54","9","17.7","0.00180247919295486","*","",""
"","","Town","124","88","29.38","28.85","","","",""
"","","Countryside","260","163","61.61","53.44","","*","",""
"PCV-D1","Wealth Quintile","Poorest","25266","8942","23.1","22.31","3.66052987234977e-23","","",""
"","","Poor","23385","7984","21.38","19.92","","","",""
"","","Middle","22296","8123","20.39","20.27","","","",""
"","","Rich","20549","7662","18.79","19.12","","","",""
"","","Richest","17876","7365","16.34","18.38","","","",""
"PCV-D1","Mother's Education","None","29889","11428","27.33","28.52","1.9537785439781e-43","","",""
"","","Primary","39676","13171","36.28","32.87","","","",""
"","","Secondary","32727","12324","29.92","30.75","","","",""
"","","Higher","7079","3153","6.47","7.87","","","",""
"PCV-D1","Mother's Marital Status","Not married","7297","3013","6.67","7.52","3.5941308699775e-76","","",""
"","","Married/Living together","96199","33947","87.96","84.71","","","",""
"","","Widowed/Divorced/Not living together","5876","3116","5.37","7.78","","","",""
"PCV-D1","Husband's Education","None","24348","8859","26.16","27.4","8.74419760725913e-91","","",""
"","","Primary","30668","8914","32.95","27.57","","*","",""
"","","Secondary","28713","10416","30.85","32.21","","","",""
"","","Higher","9345","4144","10.04","12.82","","","",""
"PCV-D1","Husband's Occupation","No work","4821","2302","5.19","7.12","6.01550827340962e-121","","",""
"","","Prof/Manager/Clerical/Sales","20345","8593","21.92","26.59","","","",""
"","","Agricultural","33790","10259","36.41","31.74","","","",""
"","","Household/Services","8182","2866","8.82","8.87","","","",""
"","","Manual work","25666","8300","27.66","25.68","","","",""
"PCV-D2","Sex at birth","Male","50576","17185","50.9","50.79","0.72973877966627","","",""
"","","Female","48782","16649","49.1","49.21","","","",""
"PCV-D2","Health Card","No card","22","2296","0.02","6.79","0","*","",""
"","","Yes - Seen","98907","4782","99.55","14.13","","*","**","***"
"","","Yes - Not Seen","36","9209","0.04","27.22","","*","**","***"
"","","Lost","29","17345","0.03","51.27","","*","**","***"
"","","Other","364","201","0.37","0.59","","","",""
"PCV-D2","Urban/Rural","Urban","32878","12892","33.09","38.1","4.51651087445335e-63","*","",""
"","","Rural","66480","20942","66.91","61.9","","*","",""
"PCV-D2","Residence","City","34","27","8.95","16.07","0.0120999382358004","*","",""
"","","Town","107","55","28.16","32.74","","","",""
"","","Countryside","239","86","62.89","51.19","","*","**",""
"PCV-D2","Wealth Quintile","Poorest","22645","7514","22.79","22.21","1.18889797675418e-21","","",""
"","","Poor","21070","6648","21.21","19.65","","","",""
"","","Middle","20214","6823","20.34","20.17","","","",""
"","","Rich","18867","6467","18.99","19.11","","","",""
"","","Richest","16562","6382","16.67","18.86","","","",""
"PCV-D2","Mother's Education","None","26878","9598","27.05","28.37","4.3570047126437e-28","","",""
"","","Primary","35762","11301","35.99","33.4","","","",""
"","","Secondary","30059","10207","30.25","30.17","","","",""
"","","Higher","6658","2728","6.7","8.06","","","",""
"PCV-D2","Mother's Marital Status","Not married","6560","2357","6.6","6.97","7.77073009177944e-56","","",""
"","","Married/Living together","87430","28862","87.99","85.3","","","",""
"","","Widowed/Divorced/Not living together","5368","2615","5.4","7.73","","","",""
"PCV-D2","Husband's Education","None","21953","7508","25.97","27.34","1.84633352808646e-60","","",""
"","","Primary","27612","7719","32.67","28.1","","","",""
"","","Secondary","26209","8684","31.01","31.62","","","",""
"","","Higher","8753","3555","10.36","12.94","","","",""
"PCV-D2","Husband's Occupation","No work","4447","1986","5.28","7.2","4.80016257752273e-96","","",""
"","","Prof/Manager/Clerical/Sales","18559","7281","22.03","26.38","","","",""
"","","Agricultural","30373","8735","36.06","31.65","","","",""
"","","Household/Services","7456","2487","8.85","9.01","","","",""
"","","Manual work","23394","7110","27.77","25.76","","","",""
"PCV-D3","Sex at birth","Male","45462","14303","50.97","50.86","0.744968863650087","","",""
"","","Female","43734","13822","49.03","49.14","","","",""
"PCV-D3","Health Card","No card","20","1616","0.02","5.75","0","*","",""
"","","Yes - Seen","88769","5234","99.52","18.61","","*","**","***"
"","","Yes - Not Seen","29","7041","0.03","25.03","","*","**","***"
"","","Lost","31","14109","0.03","50.17","","*","**","***"
"","","Other","347","125","0.39","0.44","","","",""
"PCV-D3","Urban/Rural","Urban","29391","10663","32.95","37.91","8.35878613533469e-53","","",""
"","","Rural","59805","17462","67.05","62.09","","","",""
"PCV-D3","Residence","City","26","18","9.35","16.51","0.101243116161395","*","",""
"","","Town","72","30","25.9","27.52","","","",""
"","","Countryside","180","61","64.75","55.96","","*","",""
"PCV-D3","Wealth Quintile","Poorest","19689","6006","22.07","21.35","4.34765050936784e-19","","",""
"","","Poor","18652","5446","20.91","19.36","","","",""
"","","Middle","18153","5686","20.35","20.22","","","",""
"","","Rich","17247","5474","19.34","19.46","","","",""
"","","Richest","15455","5513","17.33","19.6","","","",""
"PCV-D3","Mother's Education","None","23484","7750","27.15","28.02","7.40502676761891e-20","","",""
"","","Primary","30581","9172","35.35","33.17","","","",""
"","","Secondary","26437","8420","30.56","30.45","","","",""
"","","Higher","6009","2312","6.95","8.36","","","",""
"PCV-D3","Mother's Marital Status","Not married","5634","1840","6.32","6.54","2.24847281399231e-43","","",""
"","","Married/Living together","78907","24198","88.46","86.04","","","",""
"","","Widowed/Divorced/Not living together","4655","2087","5.22","7.42","","","",""
"PCV-D3","Husband's Education","None","19304","6172","26.28","27.33","4.60798634164839e-44","","",""
"","","Primary","23420","6281","31.88","27.82","","","",""
"","","Secondary","22802","7097","31.04","31.43","","","",""
"","","Higher","7931","3030","10.8","13.42","","","",""
"PCV-D3","Husband's Occupation","No work","4044","1681","5.33","7.25","1.24280113918591e-75","","",""
"","","Prof/Manager/Clerical/Sales","17267","6241","22.76","26.91","","","",""
"","","Agricultural","26450","7121","34.86","30.71","","","",""
"","","Household/Services","6878","2091","9.07","9.02","","","",""
"","","Manual work","21228","6055","27.98","26.11","","","",""
"RV-D1","Sex at birth","Male","73679","20285","51.16","50.87","0.30506014437481","","",""
"","","Female","70336","19592","48.84","49.13","","","",""
"RV-D1","Health Card","No card","9","2358","0.01","5.91","0","*","",""
"","","Yes - Seen","143572","8457","99.69","21.21","","*","**","***"
"","","Yes - Not Seen","34","12683","0.02","31.81","","*","**","***"
"","","Lost","21","16160","0.01","40.53","","*","**","***"
"","","Other","379","218","0.26","0.55","","","",""
"RV-D1","Urban/Rural","Urban","43367","14105","30.11","35.37","2.38512798258682e-89","*","",""
"","","Rural","100648","25772","69.89","64.63","","*","",""
"RV-D1","Residence","City","655","60","16.04","18.52","0.47956746724757","","",""
"","","Town","1160","92","28.4","28.4","","","",""
"","","Countryside","2269","172","55.56","53.09","","","",""
"RV-D1","Wealth Quintile","Poorest","36341","9748","25.23","24.45","3.72145395304005e-13","","",""
"","","Poor","31942","8357","22.18","20.96","","","",""
"","","Middle","28473","8010","19.77","20.09","","","",""
"","","Rich","25229","7179","17.52","18","","","",""
"","","Richest","22030","6583","15.3","16.51","","","",""
"RV-D1","Mother's Education","None","32076","10360","22.27","25.98","1.45407398632066e-76","","",""
"","","Primary","42525","12222","29.53","30.65","","","",""
"","","Secondary","54542","13656","37.87","34.25","","","",""
"","","Higher","14871","3639","10.33","9.13","","","",""
"RV-D1","Mother's Marital Status","Not married","7168","2651","4.98","6.65","2.40181617629263e-177","","",""
"","","Married/Living together","130180","34139","90.39","85.61","","","",""
"","","Widowed/Divorced/Not living together","6667","3087","4.63","7.74","","","",""
"RV-D1","Husband's Education","None","21030","7014","23.22","27.61","5.07961652335002e-61","","",""
"","","Primary","29804","7515","32.91","29.58","","","",""
"","","Secondary","31312","8218","34.57","32.35","","","",""
"","","Higher","8428","2658","9.31","10.46","","","",""
"RV-D1","Husband's Occupation","No work","4446","1985","5.16","7.78","1.08978065382655e-117","","",""
"","","Prof/Manager/Clerical/Sales","17114","6107","19.85","23.94","","","",""
"","","Agricultural","31041","8076","36.01","31.65","","","",""
"","","Household/Services","11924","3069","13.83","12.03","","","",""
"","","Manual work","21681","6277","25.15","24.6","","","",""
"RV-D2","Sex at birth","Male","65736","16962","51.14","50.87","0.383551632738332","","",""
"","","Female","62807","16382","48.86","49.13","","","",""
"RV-D2","Health Card","No card","10","1725","0.01","5.17","0","*","",""
"","","Yes - Seen","128130","8173","99.68","24.51","","*","**","***"
"","","Yes - Not Seen","31","9879","0.02","29.63","","*","**","***"
"","","Lost","19","13376","0.01","40.12","","*","**","***"
"","","Other","353","190","0.27","0.57","","","",""
"RV-D2","Urban/Rural","Urban","38270","11455","29.77","34.35","1.05646413396847e-58","","",""
"","","Rural","90273","21889","70.23","65.65","","","",""
"RV-D2","Residence","City","536","37","15.84","18.78","0.16089135993717","","",""
"","","Town","964","64","28.5","32.49","","","",""
"","","Countryside","1883","96","55.66","48.73","","*","",""
"RV-D2","Wealth Quintile","Poorest","31922","8081","24.83","24.24","3.69018748133751e-10","","",""
"","","Poor","28290","6913","22.01","20.73","","","",""
"","","Middle","25495","6704","19.83","20.11","","","",""
"","","Rich","22766","6054","17.71","18.16","","","",""
"","","Richest","20070","5592","15.61","16.77","","","",""
"RV-D2","Mother's Education","None","28794","8750","22.4","26.24","7.61977991274968e-75","","",""
"","","Primary","37775","10291","29.39","30.86","","","",""
"","","Secondary","48731","11241","37.91","33.71","","","",""
"","","Higher","13242","3062","10.3","9.18","","","",""
"RV-D2","Mother's Marital Status","Not married","6384","2031","4.97","6.09","1.47766513291353e-119","","",""
"","","Married/Living together","116373","28847","90.53","86.51","","","",""
"","","Widowed/Divorced/Not living together","5786","2466","4.5","7.4","","","",""
"RV-D2","Husband's Education","None","18964","5919","23.49","27.98","4.2831428768705e-50","","",""
"","","Primary","26386","6276","32.69","29.66","","","",""
"","","Secondary","27792","6767","34.43","31.98","","","",""
"","","Higher","7581","2196","9.39","10.38","","","",""
"RV-D2","Husband's Occupation","No work","4052","1694","5.25","7.98","8.56072954805006e-98","","",""
"","","Prof/Manager/Clerical/Sales","15311","5064","19.86","23.84","","","",""
"","","Agricultural","27898","6772","36.18","31.88","","","",""
"","","Household/Services","10691","2638","13.86","12.42","","","",""
"","","Manual work","19161","5072","24.85","23.88","","","",""
"RV-D3","Sex at birth","Male","24624","5264","51.66","51","0.223026937349007","","",""
"","","Female","23037","5058","48.34","49","","","",""
"RV-D3","Health Card","No card","0","375","0","3.63","0","","",""
"","","Yes - Seen","47661","4534","100","43.93","","*","**","***"
"","","Yes - Not Seen","0","3397","0","32.91","","*","**","***"
"","","Lost","0","2016","0","19.53","","*","**",""
"RV-D3","Urban/Rural","Urban","12314","3110","25.84","30.13","3.99089528130691e-19","","",""
"","","Rural","35347","7212","74.16","69.87","","","",""
"RV-D3","Wealth Quintile","Poorest","11760","2499","24.67","24.21","0.240502289802287","","",""
"","","Poor","10425","2301","21.87","22.29","","","",""
"","","Middle","9215","2049","19.33","19.85","","","",""
"","","Rich","8353","1834","17.53","17.77","","","",""
"","","Richest","7908","1639","16.59","15.88","","","",""
"RV-D3","Mother's Education","None","11014","2855","23.11","27.66","9.3217793519502e-31","","",""
"","","Primary","5939","1432","12.46","13.87","","","",""
"","","Secondary","22925","4394","48.1","42.57","","*","",""
"","","Higher","7783","1641","16.33","15.9","","","",""
"RV-D3","Mother's Marital Status","Not married","546","199","1.15","1.93","1.41429217632589e-27","","",""
"","","Married/Living together","46628","9907","97.83","95.98","","","",""
"","","Widowed/Divorced/Not living together","487","216","1.02","2.09","","","",""
"RV-D3","Husband's Education","None","5133","1435","32.05","34.08","0.000173487442885614","","",""
"","","Primary","1995","547","12.46","12.99","","","",""
"","","Secondary","6703","1604","41.85","38.09","","","",""
"","","Higher","2184","625","13.64","14.84","","","",""
"RV-D3","Husband's Occupation","No work","947","300","5.87","7.08","2.4814863330441e-15","","",""
"","","Prof/Manager/Clerical/Sales","3303","1074","20.48","25.35","","","",""
"","","Agricultural","4352","1084","26.98","25.59","","","",""
"","","Household/Services","5117","1134","31.72","26.77","","","",""
"","","Manual work","2412","644","14.95","15.2","","","",""
