"country","vaccine","median","iqr","mean","sd","range","quan_01","quan_05","quan_15","quan_25","quan_50","quan_75","quan_85","quan_95","quan_99"
"Cote d'Ivoire","BCG",2,"(0, 3)",2.8,"(6.81)","(-2, 107)",-2,-1,0,0,2,3,4,8.6,36
"Cote d'Ivoire","DTP-D1",2,"(0, 4)",3.2,"(7.45)","(-8, 106)",-6,-2,-1,0,2,4,6,13,42
"Cote d'Ivoire","DTP-D2",3,"(1, 5)",5.1,"(8.87)","(-10, 106)",-2,-1,0,1,3,5,9,21,45
"Cote d'Ivoire","DTP-D3",4,"(1, 8)",6.6,"(9.68)","(-12, 108)",-2,-1,0,1,4,8,13,25,44.2
"Cote d'Ivoire","OPV-BD",2,"(0, 3)",3.1,"(7.91)","(-2, 118)",-2,-1,0,0,2,3,5,10,50.2
"Cote d'Ivoire","OPV-D1",2,"(0, 4)",3.2,"(6.56)","(-8, 104)",-4,-1,-1,0,2,4,6,13,34
"Cote d'Ivoire","OPV-D2",3,"(1, 5)",4.9,"(7.85)","(-11, 82)",-2,-1,0,1,3,5,9,20,39
"Cote d'Ivoire","OPV-D3",4,"(1, 8)",6.5,"(8.93)","(-15, 69)",-2,-1,0,1,4,8,13,26,43
"Cote d'Ivoire","IPV-D1",3,"(1, 8)",6.9,"(11.46)","(-14, 125)",-3,-1,0,1,3,8,13,25,54
"Cote d'Ivoire","MCV-D1",2,"(0, 6)",5.8,"(13.3)","(-40, 114)",-16.3,-3,-1,0,2,6,11,29.5,64.3
"Cote d'Ivoire","MCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire","HepB-D1",2,"(0, 4)",3.2,"(7.45)","(-8, 106)",-6,-2,-1,0,2,4,6,13,42
"Cote d'Ivoire","HepB-D2",3,"(1, 5)",5.1,"(8.87)","(-10, 106)",-2,-1,0,1,3,5,9,21,45
"Cote d'Ivoire","HepB-D3",4,"(1, 8)",6.6,"(9.68)","(-12, 108)",-2,-1,0,1,4,8,13,25,44.2
"Cote d'Ivoire","Hib-D1",2,"(0, 4)",3.2,"(7.45)","(-8, 106)",-6,-2,-1,0,2,4,6,13,42
"Cote d'Ivoire","Hib-D2",3,"(1, 5)",5.1,"(8.87)","(-10, 106)",-2,-1,0,1,3,5,9,21,45
"Cote d'Ivoire","Hib-D3",4,"(1, 8)",6.6,"(9.68)","(-12, 108)",-2,-1,0,1,4,8,13,25,44.2
"Cote d'Ivoire","PCV-D1",2,"(0, 4)",3.5,"(7.96)","(-6, 114)",-3,-1,-1,0,2,4,6,13,42
"Cote d'Ivoire","PCV-D2",3,"(1, 5)",4.8,"(7.76)","(-8, 82)",-2,-1,0,1,3,5,9,20,39
"Cote d'Ivoire","PCV-D3",4,"(1, 8)",6.5,"(9.62)","(-12, 108)",-2,-1,0,1,4,8,12,24,44
"Cote d'Ivoire","RV-D1",2,"(0, 4)",3.8,"(8.33)","(-6, 117)",-2,-1,-1,0,2,4,7,15,42.4
"Cote d'Ivoire","RV-D2",3,"(1, 6)",5.3,"(9.17)","(-5, 109)",-2,-1,0,1,3,6,9,22,46
"Cote d'Ivoire","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","BCG",1,"(0, 2)",2.1,"(8.02)","(-2, 142)",-2,-2,-1,0,1,2,3,8,32.9
"Dominican Republic","DTP-D1",1,"(0, 2)",3.6,"(13.85)","(-11, 204)",-2.4,-2,-1,0,1,2,4,15,72.4
"Dominican Republic","DTP-D2",2,"(1, 5)",6.4,"(17.62)","(-10, 206)",-4,-1,0,1,2,5,9,24,94.1
"Dominican Republic","DTP-D3",3,"(1, 7)",8.7,"(19.34)","(-18, 191)",-2,-1,0,1,3,7,13,45.5,97.7
"Dominican Republic","OPV-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","OPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","OPV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","OPV-D3",-48,"(-50, -44)",-42.5,"(19.03)","(-68, 139)",-55,-52,-51,-50,-48,-44,-38,-8,46.7
"Dominican Republic","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","MCV-D1",3,"(1, 6.5)",7.5,"(20.8)","(-54, 187)",-43.9,-1,0,1,3,6.5,13,42,106.7
"Dominican Republic","MCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","HepB-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","HepB-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","HepB-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","Hib-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","Hib-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","Hib-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","PCV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","PCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","PCV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","RV-D1",45,"(43, 49)",46.7,"(23)","(-11, 211)",-10,-0.3,42,43,45,49,54,80,138.9
"Dominican Republic","RV-D2",2,"(1, 5.75)",8.5,"(19)","(-1, 104)",-1,-1,0,1,2,5.8,8,44.2,85
"Dominican Republic","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","BCG",1,"(0, 3)",2.3,"(6.74)","(-2, 161)",-2,-1,0,0,1,3,4,6,26.6
"Egypt","DTP-D1",0,"(-1, 1)",0.8,"(5.98)","(-10, 161)",-4,-2,-2,-1,0,1,2,4,18
"Egypt","DTP-D2",1,"(0, 2)",1.8,"(5.73)","(-12, 111)",-5,-2,-1,0,1,2,3,7,19
"Egypt","DTP-D3",1,"(0, 2)",2.1,"(6.79)","(-16, 107)",-4,-2,-1,0,1,2,4,9,46.7
"Egypt","OPV-BD",1,"(0, 2)",2,"(6.35)","(-2, 161)",-2,-1,-1,0,1,2,3,6,14.6
"Egypt","OPV-D1",0,"(-1, 1)",0.8,"(6.08)","(-10, 161)",-4,-2,-2,-1,0,1,2,4,18.4
"Egypt","OPV-D2",1,"(0, 2)",1.8,"(5.88)","(-12, 111)",-5,-2,-1,0,1,2,3,7,21.7
"Egypt","OPV-D3",1,"(0, 2)",2,"(6.56)","(-24, 107)",-5,-2,-1,0,1,2,4,7,42.4
"Egypt","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","MCV-D1",0,"(-1, 2)",0,"(11.51)","(-54, 111)",-27,-14,-11,-1,0,2,4,21.1,51
"Egypt","MCV-D2",2,"(1, 4)",2.6,"(9.33)","(-56, 108)",-26,-3,0,1,2,4,5,10,51
"Egypt","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","HepB-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","HepB-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","HepB-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","Hib-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","Hib-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","Hib-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","PCV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","PCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","PCV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","RV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","RV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethiopia","BCG",6,"(2, 11)",8.6,"(10.93)","(-2, 118)",-1,-1,1,2,6,11,15,30,53
"Ethiopia","DTP-D1",2,"(0, 5)",4.6,"(10.52)","(-8, 134)",-6,-2,-1,0,2,5,8,22,48
"Ethiopia","DTP-D2",3,"(1, 7)",5.4,"(10)","(-10, 129)",-6,-2,0,1,3,7,11,22,48.2
"Ethiopia","DTP-D3",3,"(1, 8)",6.6,"(10.98)","(-16, 131)",-5,-1,0,1,3,8,12,26,51.7
"Ethiopia","OPV-BD",1,"(0, 3)",3.5,"(8.46)","(-2, 87)",-2,-1,-1,0,1,3,5.1,14,49.3
"Ethiopia","OPV-D1",2,"(0, 5)",4.5,"(10.13)","(-7, 134)",-6,-2,-1,0,2,5,8,22,47.5
"Ethiopia","OPV-D2",3,"(1, 7)",5.5,"(9.47)","(-10, 86)",-5.1,-2,0,1,3,7,11,22.7,47.1
"Ethiopia","OPV-D3",3,"(1, 8)",6.9,"(11.38)","(-16, 131)",-5,-1,0,1,3,8,12.2,29,52
"Ethiopia","IPV-D1",3,"(1, 8)",6.9,"(10.41)","(-16, 69)",-6,-1,0,1,3,8,13,29,50.1
"Ethiopia","MCV-D1",2,"(0, 6)",4.1,"(11.86)","(-38, 103)",-25.6,-9,-2,0,2,6,9,21,52.2
"Ethiopia","MCV-D2",3.5,"(-5, 16.5)",5.1,"(21.93)","(-42, 55)",-40.4,-26.9,-20,-5,3.5,16.5,29.8,40.9,50.1
"Ethiopia","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethiopia","HepB-D1",2,"(0, 5)",4.6,"(10.52)","(-8, 134)",-6,-2,-1,0,2,5,8,22,48
"Ethiopia","HepB-D2",3,"(1, 7)",5.4,"(10)","(-10, 129)",-6,-2,0,1,3,7,11,22,48.2
"Ethiopia","HepB-D3",3,"(1, 8)",6.6,"(10.98)","(-16, 131)",-5,-1,0,1,3,8,12,26,51.7
"Ethiopia","Hib-D1",2,"(0, 5)",4.6,"(10.52)","(-8, 134)",-6,-2,-1,0,2,5,8,22,48
"Ethiopia","Hib-D2",3,"(1, 7)",5.4,"(10)","(-10, 129)",-6,-2,0,1,3,7,11,22,48.2
"Ethiopia","Hib-D3",3,"(1, 8)",6.6,"(10.98)","(-16, 131)",-5,-1,0,1,3,8,12,26,51.7
"Ethiopia","PCV-D1",2,"(0, 5)",4.4,"(10.36)","(-8, 134)",-6,-2,-1,0,2,5,7,20,48
"Ethiopia","PCV-D2",3,"(1, 7)",5.3,"(9.87)","(-10, 129)",-5.6,-2,0,1,3,7,10,20.8,49.7
"Ethiopia","PCV-D3",3,"(1, 8)",6.6,"(11.45)","(-16, 131)",-6,-1,0,1,3,8,12,26.1,55.2
"Ethiopia","RV-D1",2,"(0, 5)",4.4,"(9.97)","(-8, 134)",-6,-2,-1,0,2,5,8,20,47.2
"Ethiopia","RV-D2",3,"(1, 7)",5.7,"(10.53)","(-10, 106)",-5.9,-2,0,1,3,7,11,25.6,55
"Ethiopia","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon","BCG",2,"(0, 3)",3.3,"(8.59)","(-2, 117)",-2,-1,-1,0,2,3,5,12,52.2
"Gabon","DTP-D1",1,"(0, 3)",3.1,"(8.73)","(-7, 107)",-4,-2,-1,0,1,3,5,11,51.8
"Gabon","DTP-D2",2,"(0, 4)",4.6,"(10.09)","(-6, 123)",-3.3,-1,0,0,2,4,7,17,54
"Gabon","DTP-D3",3,"(1, 6)",6.6,"(12.48)","(-11, 114)",-3,-1,0,1,3,6,10,30,59.2
"Gabon","OPV-BD",2,"(0, 3)",3.2,"(8.76)","(-2, 117)",-2,-1,-1,0,2,3,5,11,52
"Gabon","OPV-D1",1,"(0, 3)",3.1,"(8.53)","(-8, 105)",-5,-2,-1,0,1,3,5,12,51.7
"Gabon","OPV-D2",2,"(0, 4)",4.5,"(9.66)","(-11, 105)",-4,-1,0,0,2,4,7,17,53
"Gabon","OPV-D3",3,"(1, 6)",6.4,"(12.44)","(-15, 114)",-5,-1,0,1,3,6,10,28,58.4
"Gabon","IPV-D1",3,"(1, 6)",7.3,"(15.41)","(-14, 114)",-10,-1,0,1,3,6,11,32,86.1
"Gabon","MCV-D1",2,"(1, 6)",5.9,"(12.59)","(-37, 100)",-9.7,-1,0,1,2,6,9,31,60.7
"Gabon","MCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon","HepB-D1",1,"(0, 3)",3.1,"(8.73)","(-7, 107)",-4,-2,-1,0,1,3,5,11,51.8
"Gabon","HepB-D2",2,"(0, 4)",4.6,"(10.09)","(-6, 123)",-3.3,-1,0,0,2,4,7,17,54
"Gabon","HepB-D3",3,"(1, 6)",6.6,"(12.48)","(-11, 114)",-3,-1,0,1,3,6,10,30,59.2
"Gabon","Hib-D1",1,"(0, 3)",3.1,"(8.73)","(-7, 107)",-4,-2,-1,0,1,3,5,11,51.8
"Gabon","Hib-D2",2,"(0, 4)",4.6,"(10.09)","(-6, 123)",-3.3,-1,0,0,2,4,7,17,54
"Gabon","Hib-D3",3,"(1, 6)",6.6,"(12.48)","(-11, 114)",-3,-1,0,1,3,6,10,30,59.2
"Gabon","PCV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon","PCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon","PCV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon","RV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon","RV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana","BCG",2,"(0, 4)",3.3,"(7.8)","(-2, 173)",-2,-1,-1,0,2,4,6,12,32.5
"Ghana","DTP-D1",2,"(0, 3)",2.8,"(6.26)","(-8, 112)",-4,-2,-1,0,2,3,5,9,25.9
"Ghana","DTP-D2",3,"(1, 5)",4.6,"(8.14)","(-7, 107)",-3,-1,0,1,3,5,8,15,39
"Ghana","DTP-D3",4,"(2, 7.25)",6.6,"(10.16)","(-7, 157)",-2,-1,1,2,4,7.2,11,23,52
"Ghana","OPV-BD",1,"(0, 2)",1.6,"(4.97)","(-2, 162)",-2,-1,-1,0,1,2,3,6,13
"Ghana","OPV-D1",2,"(0, 3)",2.8,"(6.29)","(-8, 112)",-4.3,-2,-1,0,2,3,5,9.6,25
"Ghana","OPV-D2",3,"(1, 5)",4.6,"(7.62)","(-9, 107)",-3,-1,0,1,3,5,8,15,38.6
"Ghana","OPV-D3",4,"(2, 7)",6.4,"(9.54)","(-8, 114)",-2,-1,1,2,4,7,11,23,51
"Ghana","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana","MCV-D1",3,"(1, 6)",5.5,"(12.75)","(-40, 160)",-14,-2,0,1,3,6,9,23,66
"Ghana","MCV-D2",5,"(1, 15)",8.8,"(25.86)","(-79, 161)",-48,-33.5,-5,1,5,15,24.6,57,105.7
"Ghana","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana","HepB-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana","HepB-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana","HepB-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana","Hib-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana","Hib-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana","Hib-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana","PCV-D1",2,"(0, 4)",3.9,"(9.98)","(-8, 112)",-3,-2,-1,0,2,4,6,14,51
"Ghana","PCV-D2",3,"(1, 6)",4.9,"(8.7)","(-8, 107)",-3,-1,0,1,3,6,8,17,41
"Ghana","PCV-D3",4,"(2, 7.75)",6.8,"(11.1)","(-10, 114)",-3,-1,1,2,4,7.8,12,25,58.7
"Ghana","RV-D1",2,"(0, 4)",3.7,"(9.7)","(-6, 112)",-3,-2,-1,0,2,4,6,11,53.3
"Ghana","RV-D2",3,"(1, 6)",5.1,"(9.91)","(-10, 158)",-3,-1,0,1,3,6,8,17,47.8
"Ghana","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","BCG",2,"(0, 5)",3.6,"(6.79)","(-2, 169)",-2,-1,0,0,2,5,7,12,30
"Guatemala","DTP-D1",1,"(-1, 4)",3.9,"(13.67)","(-11, 229)",-9,-2,-1,-1,1,4,7,16,69.2
"Guatemala","DTP-D2",3,"(0, 6)",5,"(15.49)","(-19, 236)",-18,-14,0,0,3,6,10,22,64
"Guatemala","DTP-D3",4,"(1, 9)",7.9,"(14.28)","(-10, 202)",-2,-1,0,1,4,9,14,31,68
"Guatemala","OPV-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","OPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","OPV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","OPV-D3",4,"(1, 9)",8,"(14.18)","(-10, 202)",-2,-1,0,1,4,9,14,31,67
"Guatemala","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","MCV-D1",2,"(-2, 5)",4.7,"(14.28)","(-54, 183)",-6,-2,-2,-2,2,5,8,24,69
"Guatemala","MCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","HepB-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","HepB-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","HepB-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","Hib-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","Hib-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","Hib-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","PCV-D1",2,"(0, 8)",7.9,"(15.55)","(-10, 196)",-2,-2,-1,0,2,8,14,46,70
"Guatemala","PCV-D2",4,"(1, 10)",7.9,"(12.22)","(-8, 201)",-1,-1,0,1,4,10,15,28,53
"Guatemala","PCV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","RV-D1",1,"(0, 4)",2.6,"(5.38)","(-10, 133)",-2,-2,-1,0,1,4,5,11,20
"Guatemala","RV-D2",3,"(1, 6)",4.5,"(6.65)","(-8, 129)",-2,-1,0,1,3,6,9,14,28
"Guatemala","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","BCG",2,"(0, 4)",4.9,"(11.64)","(-2, 113)",-2,-2,-1,0,2,4,8,25.8,57
"Guinea","DTP-D1",2,"(-1, 6)",5.6,"(13.55)","(-8, 116)",-5.1,-3,-1,-1,2,6,11,28,69
"Guinea","DTP-D2",3,"(0, 8)",7.2,"(14.43)","(-11, 102)",-6,-3,-1,0,3,8,14,33.5,76
"Guinea","DTP-D3",4,"(1, 11)",8.9,"(14.79)","(-15, 106)",-5.5,-2,0,1,4,11,20,37,66.1
"Guinea","OPV-BD",2,"(0, 4)",4.5,"(11.29)","(-2, 113)",-2,-2,-1,0,2,4,7,21.5,54.7
"Guinea","OPV-D1",2,"(-1, 5)",5.4,"(13.38)","(-8, 111)",-5,-3,-1,-1,2,5,9,29,69.4
"Guinea","OPV-D2",2,"(0, 7)",6.7,"(14.46)","(-11, 102)",-6,-3,-2,0,2,7,13,36.4,71
"Guinea","OPV-D3",3.5,"(0, 10)",8.7,"(15.34)","(-15, 106)",-6,-3,-1,0,3.5,10,19,38.9,76.4
"Guinea","IPV-D1",13,"(3, 26)",16.7,"(18.15)","(-9, 103)",-5,-1,1.1,3,13,26,28,50.6,86.2
"Guinea","MCV-D1",1,"(-5, 6)",2.7,"(18.2)","(-41, 82)",-28.4,-20.4,-15,-5,1,6,14.2,39,72.8
"Guinea","MCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","HepB-D1",2,"(-1, 6)",5.6,"(13.55)","(-8, 116)",-5.1,-3,-1,-1,2,6,11,28,69
"Guinea","HepB-D2",3,"(0, 8)",7.2,"(14.43)","(-11, 102)",-6,-3,-1,0,3,8,14,33.5,76
"Guinea","HepB-D3",4,"(1, 11)",8.9,"(14.79)","(-15, 106)",-5.5,-2,0,1,4,11,20,37,66.1
"Guinea","Hib-D1",2,"(-1, 6)",5.6,"(13.55)","(-8, 116)",-5.1,-3,-1,-1,2,6,11,28,69
"Guinea","Hib-D2",3,"(0, 8)",7.2,"(14.43)","(-11, 102)",-6,-3,-1,0,3,8,14,33.5,76
"Guinea","Hib-D3",4,"(1, 11)",8.9,"(14.79)","(-15, 106)",-5.5,-2,0,1,4,11,20,37,66.1
"Guinea","PCV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","PCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","PCV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","RV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","RV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haiti","BCG",4,"(1, 10)",8.6,"(12.35)","(-2, 119)",-2,-1,0,1,4,10,17,35,55.8
"Haiti","DTP-D1",3,"(1, 8)",7.2,"(12.94)","(-7, 126)",-3.9,-1,0,1,3,8,13,30,67
"Haiti","DTP-D2",6,"(3, 13)",10.6,"(14)","(-5, 132)",-3,0,1,3,6,13,20,38,69
"Haiti","DTP-D3",9,"(4, 20)",14.2,"(16)","(-5, 132)",-1,1,3,4,9,20,27,44,75
"Haiti","OPV-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haiti","OPV-D1",9,"(7, 13)",12.5,"(12.46)","(-1, 124)",0.1,5,6,7,9,13,17,33.2,72.8
"Haiti","OPV-D2",5,"(2, 12)",9.5,"(13.84)","(-7, 136)",-3,0,1,2,5,12,18,33,72.3
"Haiti","OPV-D3",8,"(4, 18)",14.3,"(18.13)","(-9, 133)",-2,0,2,4,8,18,26,47,95.1
"Haiti","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haiti","MCV-D1",4,"(1, 13)",11.1,"(19.26)","(-32, 104)",-22.3,-2,0,1,4,13,25,57.3,81.3
"Haiti","MCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haiti","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haiti","HepB-D1",3,"(1, 8)",7.2,"(12.94)","(-7, 126)",-3.9,-1,0,1,3,8,13,30,67
"Haiti","HepB-D2",6,"(3, 13)",10.6,"(14)","(-5, 132)",-3,0,1,3,6,13,20,38,69
