"country","vaccine","birth_cohort","median","iqr","mean","sd","range","quan_01","quan_05","quan_15","quan_25","quan_50","quan_75","quan_85","quan_95","quan_99"
"All","BCG",2006,1,"(0, 3)",4.8,"(24.67)","(-2, 248)",-2,-2,-1,0,1,3,5,10.7,54.6
"All","BCG",2007,2,"(0, 4)",4.7,"(14.64)","(-2, 210)",-2,-1,-1,0,2,4,7,15,57.2
"All","BCG",2008,1,"(0, 4)",4.4,"(11.46)","(-2, 204)",-2,-1,-1,0,1,4,7,17,58
"All","BCG",2009,2,"(0, 5)",4.4,"(10.99)","(-2, 183)",-2,-1,-1,0,2,5,8,17,54.3
"All","BCG",2010,2,"(0, 5)",4.5,"(11.43)","(-2, 223)",-2,-1,-1,0,2,5,8,18,56
"All","BCG",2011,2,"(0, 5)",4.3,"(10.89)","(-2, 199)",-2,-1,-1,0,2,5,7,16,54
"All","BCG",2012,2,"(0, 5)",4.7,"(10.47)","(-2, 199)",-2,-1,0,0,2,5,8,18,54
"All","BCG",2013,2,"(0, 5)",4.7,"(10.75)","(-2, 160)",-2,-1,0,0,2,5,8,19,54
"All","BCG",2014,1,"(0, 5)",4.3,"(8.81)","(-2, 120)",0,0,0,0,1,5,8,17,52
"All","BCG",2015,2,"(1, 5)",4.4,"(8.38)","(-9, 129)",0,0,0,1,2,5,8,14,52
"All","BCG",2016,2,"(0, 5)",4.2,"(8.81)","(-4, 141)",-1,0,0,0,2,5,7,15,52
"All","BCG",2017,0,"(0, 3)",3.3,"(8.82)","(-2, 148)",-1,0,0,0,0,3,6,14,52
"All","BCG",2018,0,"(0, 2)",2.5,"(6.98)","(-2, 134)",0,0,0,0,0,2,4,11,41
"All","BCG",2019,0,"(0, 2)",2.3,"(6.88)","(-2, 124)",0,0,0,0,0,2,4,10,36
"All","BCG",2020,1,"(0, 2)",2.6,"(6.76)","(-2, 109)",0,0,0,0,1,2,4,11,40
"All","BCG",2021,0,"(0, 2)",2.3,"(5.43)","(0, 58)",0,0,0,0,0,2,4,10,24
"All","BCG",2022,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","DTP-D1",2006,1,"(0, 2)",3.3,"(15.41)","(-5, 152)",-4,-2,-1,0,1,2,3.5,9.5,49.7
"All","DTP-D1",2007,1,"(0, 3)",2.6,"(9.44)","(-10, 157)",-5,-2,-1,0,1,3,5,10,40
"All","DTP-D1",2008,1,"(0, 3)",3.4,"(12.18)","(-11, 204)",-5,-2,-1,0,1,3,5,14,55
"All","DTP-D1",2009,1,"(0, 3)",3.6,"(11.97)","(-11, 235)",-6,-2,-1,0,1,3,6,16,55
